Fecha Bonos de la Serie A1 Bonos de la Serie A2 Bonos de la Serie B Bonos de la Serie C Bonos de la Serie D Bonos de la Serie E
de Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo
Pago Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total
TOTALES: 100.000,00 3.259,17 103.259,17 100.000,00 14.616,50 114.616,50 100.000,00 24.214,94 124.214,94 100.000,00 28.469,04 128.469,04 100.000,00 41.637,01 141.637,01 100.000,00 67.271,95 167.271,95
01 jul 2005
21 sep 2005 0,00 496,56 496,56 0,00 514,78 514,78 0,00 544,39 544,39 0,00 640,06 640,06 0,00 936,17 936,17 0,00 1.391,72 1.391,72
21 dic 2005 0,00 551,31 551,31 0,00 571,53 571,53 0,00 604,39 604,39 0,00 710,56 710,56 0,00 1.039,17 1.039,17 0,00 1.544,73 1.544,73
21 mar 2006 0,00 545,25 545,25 0,00 565,25 565,25 0,00 597,75 597,75 0,00 702,75 702,75 0,00 1.027,75 1.027,75 0,00 1.527,75 1.527,75
21 jun 2006 0,00 557,37 557,37 0,00 577,81 577,81 0,00 611,03 611,03 0,00 718,37 718,37 0,00 1.050,59 1.050,59 0,00 1.561,70 1.561,70
21 sep 2006 0,00 557,37 557,37 0,00 577,81 577,81 0,00 611,03 611,03 0,00 718,37 718,37 0,00 1.050,59 1.050,59 0,00 1.561,70 1.561,70
21 dic 2006 100.000,00 551,31 100.551,31 14.562,67 571,53 15.134,20 0,00 604,39 604,39 0,00 710,56 710,56 0,00 1.039,17 1.039,17 0,00 1.544,73 1.544,73
21 mar 2007 0,00 0,00 0,00 3.067,42 482,93 3.550,35 0,00 597,75 597,75 0,00 702,75 702,75 0,00 1.027,75 1.027,75 0,00 1.527,75 1.527,75
21 jun 2007 0,00 0,00 0,00 3.016,52 475,94 3.492,46 0,00 611,03 611,03 0,00 718,37 718,37 0,00 1.050,59 1.050,59 0,00 1.561,70 1.561,70
21 sep 2007 0,00 0,00 0,00 2.923,93 458,51 3.382,44 0,00 611,03 611,03 0,00 718,37 718,37 0,00 1.050,59 1.050,59 0,00 1.561,70 1.561,70
