Cartera de créditos hipotecarios (primeras disposiciones) al día 07/11/2005
Clasificación por Deudor,,
,Créditos
%,Principal pendiente
(euros) %
Deudor 1,1 0,0151,966.981,28 0,1022
Deudor 2,1 0,0151,856.478,92 0,0905
Deudor 3,1 0,0151,843.829,93 0,0892
Deudor 4,1 0,0151,786.944,50 0,0832
Deudor 5,1 0,0151,785.773,26 0,0830
Deudor 6,1 0,0151,727.743,37 0,0769
Deudor 7,1 0,0151,637.465,33 0,0674
Deudor 8,1 0,0151,633.854,21 0,0670
Deudor 9,1 0,0151,622.069,22 0,0657
Deudor 10,1 0,0151,611.783,38 0,0647
938.818.200,61 99,210
Resto: 6.605 Deudores,6.620 99,849,
Total 6.615 deudores 6.630 100,00 946.291.124,01 100,00,,
