Cartera de créditos hipotecarios (primeras disposiciones) al día 07/11/2005
Clasificación por relación principal pendiente /Valor Tasación,,,
Intervalos Relación,Créditos
%,Principal pendiente
(euros %,(%) Principal
pendiente/
V. Tasación *
0,01 - 5,00,8 0,12,42.558,64 0,00,2,83
5,01 - 10,00,34 0,51,923.578,80 0,10,8,24
10,01 - 15,00,55 0,83,2.636.912,22 0,28,12,78
15,01 - 20,00,120 1,81,7.092.332,95 0,75,17,80
20,01 - 25,00,172 2,59,13.047.389,15 1,38,22,82
25,01 - 30,00,230 3,47,19.857.665,95 2,10,27,63
30,01 - 35,00,273 4,12,27.690.885,02 2,93,32,76
35,01 - 40,00,329 4,96,37.681.703,82 3,98,37,53
40,01 - 45,00,404 6,09,48.142.149,21 5,09,42,59
45,01 - 50,00,495 7,47,64.908.150,03 6,86,47,57
50,01 - 55,00,598 9,02,84.124.083,44 8,89,52,58
55,01 - 60,00,592 8,93,92.696.729,94 9,80,57,52
60,01 - 65,00,659 9,94,101.083.487,37 10,68,62,53
65,01 - 70,00,794 11,98,132.355.623,53 13,99,67,63
70,01 - 75,00,816 12,31,136.482.904,61 14,42,72,69
75,01 - 80,00,1.051 15,85,177.524.969,33 18,76,77,24
Total 6.630 100,00 946.291.124,01 100,00,,,
Media Pondera da: 60,38 %
Media Simple: 56,73 %
Mínimo: 0,27 %
Máximo: 79,67 %
*Relación Pri nci pal pendient e primera dispo sición y dis posiciones sucesivas/V alor de tasa ción son medias
ponderadas por el principal pendiente de la primera disposición y disposiciones sucesivas.,,,
