Cartera de préstamos hipotecarios al día 03.01.2005
Clasificación por Comunidades Autónomas,,,
Comunidad Autónoma,Préstamos
%,Principal pendiente
(euros) %,(%) Principal
pendiente/
V. Tasación *
Andalucía,235 11,49,28.907.308,45 9,13,87,16
Aragón,40 1,96,5.539.874,28 1,75,88,94
Asturias,10 0,49,1.275.934,37 0,40,86,74
Baleares,71 3,47,12.276.343,43 3,88,86,33
Canarias,54 2,64,7.442.302,25 2,35,87,06
Cantabria,47 2,30,5.951.800,91 1,88,87,43
Cataluña,496 24,24,79.241.401,00 25,04,88,31
Ceuta,1 0,05,93.225,17 0,03,89,99
País Vasco,142 6,94,24.251.007,84 7,66,89,04
Extremadura,19 0,93,1.542.314,15 0,49,88,83
Galicia,21 1,03,2.718.622,58 0,86,87,20
Castilla-León,82 4,01,10.679.689,23 3,37,86,57
Madrid,605 29,57,108.287.358,09 34,22,88,82
Castilla La Mancha,58 2,83,7.418.995,78 2,34,88,10
Murcia,17 0,83,2.237.675,39 0,71,86,33
Navarra,13 0,64,1.872.688,31 0,59,90,28
La Rioja,4 0,20,514.119,32 0,16,86,54
Comunidad Valenciana,131 6,40,16.239.464,12 5,13,88,05
Total,2.046 100,00,316.490.124,67 100,00,
*Relación Principal pendiente /V. Tasación son medias ponderadas por el principal pendiente.,,,
