Fecha Bonos de la Serie A1(P) Bonos de la Serie A2(P) Bonos de la Serie B(P) Bonos de la Serie C(P)
de Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo
Pago Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total
TOTALES: 100.000,00 3.206,98 103.206,98 100.000,00 16.917,34 116.917,34 100.000,00 28.775,00 128.775,00 100.000,00 34.323,08 134.323,08
17 feb 2005
18 abr 2005 0,00 370,83 370,83 0,00 379,17 379,17 0,00 429,17 429,17 0,00 512,50 512,50
18 jul 2005 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
17 oct 2005 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
16 ene 2006 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
17 abr 2006 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
17 jul 2006 100.000,00 567,23 100.567,23 7.461,27 579,87 8.041,14 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2006 0,00 0,00 0,00 2.963,12 536,61 3.499,73 0,00 655,71 655,71 0,00 782,09 782,09
16 ene 2007 0,00 0,00 0,00 2.884,65 525,13 3.409,78 0,00 662,91 662,91 0,00 790,69 790,69
16 abr 2007 0,00 0,00 0,00 2.771,75 497,17 3.268,92 0,00 648,50 648,50 0,00 773,50 773,50
16 jul 2007 0,00 0,00 0,00 2.718,96 486,62 3.205,58 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2007 0,00 0,00 0,00 2.667,90 476,03 3.143,93 0,00 662,91 662,91 0,00 790,69 790,69
16 ene 2008 0,00 0,00 0,00 2.597,73 460,39 3.058,12 0,00 662,91 662,91 0,00 790,69 790,69
16 abr 2008 0,00 0,00 0,00 2.513,67 440,32 2.953,99 0,00 655,71 655,71 0,00 782,09 782,09
16 jul 2008 0,00 0,00 0,00 2.447,30 425,75 2.873,05 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2008 0,00 0,00 0,00 2.400,93 416,08 2.817,01 0,00 662,91 662,91 0,00 790,69 790,69
16 ene 2009 0,00 0,00 0,00 2.334,51 402,00 2.736,51 0,00 662,91 662,91 0,00 790,69 790,69
16 abr 2009 0,00 0,00 0,00 2.240,90 379,88 2.620,78 0,00 648,50 648,50 0,00 773,50 773,50
16 jul 2009 0,00 0,00 0,00 2.196,84 371,10 2.567,94 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2009 0,00 0,00 0,00 2.155,30 362,30 2.517,60 0,00 662,91 662,91 0,00 790,69 790,69
18 ene 2010 0,00 0,00 0,00 2.096,33 357,27 2.453,60 0,00 677,32 677,32 0,00 807,88 807,88
16 abr 2010 0,00 0,00 0,00 2.014,74 322,71 2.337,45 0,00 634,09 634,09 0,00 756,31 756,31
16 jul 2010 0,00 0,00 0,00 1.972,14 322,03 2.294,17 0,00 655,71 655,71 0,00 782,09 782,09
18 oct 2010 0,00 0,00 0,00 1.933,41 320,83 2.254,24 0,00 677,32 677,32 0,00 807,88 807,88
17 ene 2011 0,00 0,00 0,00 1.661,34 299,38 1.960,72 6.383,05 655,71 7.038,76 6.376,31 782,09 7.158,40
18 abr 2011 0,00 0,00 0,00 1.697,27 289,75 1.987,02 3.179,95 613,85 3.793,80 3.180,18 732,23 3.912,41
18 jul 2011 0,00 0,00 0,00 1.660,95 279,90 1.940,85 3.111,91 593,00 3.704,91 3.112,14 707,35 3.819,49
17 oct 2011 0,00 0,00 0,00 1.626,26 270,27 1.896,53 3.046,91 572,60 3.619,51 3.047,13 683,01 3.730,14
16 ene 2012 0,00 0,00 0,00 1.579,84 260,84 1.840,68 2.959,94 552,62 3.512,56 2.960,15 659,18 3.619,33
16 abr 2012 0,00 0,00 0,00 1.526,18 251,68 1.777,86 2.859,40 533,21 3.392,61 2.859,61 636,03 3.495,64
16 jul 2012 0,00 0,00 0,00 1.480,55 242,83 1.723,38 2.773,91 514,46 3.288,37 2.774,11 613,67 3.387,78
16 oct 2012 0,00 0,00 0,00 1.449,99 236,82 1.686,81 2.716,66 501,72 3.218,38 2.716,86 598,48 3.315,34
16 ene 2013 0,00 0,00 0,00 1.407,47 228,32 1.635,79 2.637,00 483,71 3.120,71 2.637,19 576,99 3.214,18
16 abr 2013 0,00 0,00 0,00 1.352,94 215,28 1.568,22 2.534,83 456,10 2.990,93 2.535,01 544,05 3.079,06
16 jul 2013 0,00 0,00 0,00 1.316,72 209,83 1.526,55 2.466,96 444,55 2.911,51 2.467,14 530,27 2.997,41
16 oct 2013 0,00 0,00 0,00 1.276,70 204,42 1.481,12 2.391,99 433,08 2.825,07 2.392,16 516,59 2.908,75
16 ene 2014 0,00 0,00 0,00 1.229,90 196,93 1.426,83 2.304,30 417,22 2.721,52 2.304,47 497,68 2.802,15
16 abr 2014 0,00 0,00 0,00 1.174,92 185,60 1.360,52 2.201,29 393,21 2.594,50 2.201,45 469,03 2.670,48
16 jul 2014 0,00 0,00 0,00 1.147,05 180,85 1.327,90 2.149,08 383,14 2.532,22 2.149,23 457,03 2.606,26
16 oct 2014 0,00 0,00 0,00 1.123,02 176,11 1.299,13 2.104,05 373,11 2.477,16 2.104,20 445,05 2.549,25
16 ene 2015 0,00 0,00 0,00 1.090,76 169,53 1.260,29 2.043,62 359,16 2.402,78 2.043,77 428,42 2.472,19
16 abr 2015 0,00 0,00 0,00 1.049,29 159,59 1.208,88 1.965,92 338,10 2.304,02 1.966,07 403,29 2.369,36
