Fecha Bonos de la Serie A1(T) Bonos de la Serie A2(T) Bonos de la Serie B(T) Bonos de la Serie C(T)
de Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo
Pago Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total
TOTALES: 100.000,00 3.206,98 103.206,98 100.000,00 15.375,68 115.375,68 100.000,00 27.385,89 127.385,89 100.000,00 32.666,47 132.666,47
17 feb 2005
18 abr 2005 0,00 370,83 370,83 0,00 379,17 379,17 0,00 429,17 429,17 0,00 512,50 512,50
18 jul 2005 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
17 oct 2005 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
16 ene 2006 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
17 abr 2006 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
17 jul 2006 100.000,00 567,23 100.567,23 10.693,82 579,87 11.273,69 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2006 0,00 0,00 0,00 3.233,04 517,86 3.750,90 0,00 655,71 655,71 0,00 782,09 782,09
16 ene 2007 0,00 0,00 0,00 3.136,15 504,60 3.640,75 0,00 662,91 662,91 0,00 790,69 790,69
16 abr 2007 0,00 0,00 0,00 2.990,02 475,64 3.465,66 0,00 648,50 648,50 0,00 773,50 773,50
16 jul 2007 0,00 0,00 0,00 2.927,13 463,59 3.390,72 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2007 0,00 0,00 0,00 2.864,24 451,52 3.315,76 0,00 662,91 662,91 0,00 790,69 790,69
16 ene 2008 0,00 0,00 0,00 2.777,89 434,73 3.212,62 0,00 662,91 662,91 0,00 790,69 790,69
16 abr 2008 0,00 0,00 0,00 2.671,29 413,90 3.085,19 0,00 655,71 655,71 0,00 782,09 782,09
16 jul 2008 0,00 0,00 0,00 2.591,33 398,41 2.989,74 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2008 0,00 0,00 0,00 2.534,93 387,60 2.922,53 0,00 662,91 662,91 0,00 790,69 790,69
16 ene 2009 0,00 0,00 0,00 2.458,05 372,74 2.830,79 0,00 662,91 662,91 0,00 790,69 790,69
16 abr 2009 0,00 0,00 0,00 2.343,64 350,54 2.694,18 0,00 648,50 648,50 0,00 773,50 773,50
16 jul 2009 0,00 0,00 0,00 2.293,00 340,84 2.633,84 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2009 0,00 0,00 0,00 2.242,40 331,14 2.573,54 0,00 662,91 662,91 0,00 790,69 790,69
18 ene 2010 0,00 0,00 0,00 2.173,96 324,91 2.498,87 0,00 677,32 677,32 0,00 807,88 807,88
16 abr 2010 0,00 0,00 0,00 2.072,84 291,98 2.364,82 0,00 634,09 634,09 0,00 756,31 756,31
16 jul 2010 0,00 0,00 0,00 2.027,40 289,91 2.317,31 0,00 655,71 655,71 0,00 782,09 782,09
18 oct 2010 0,00 0,00 0,00 1.401,28 287,33 1.688,61 5.862,66 677,32 6.539,98 5.854,05 807,88 6.661,93
17 ene 2011 0,00 0,00 0,00 1.600,48 270,03 1.870,51 3.235,40 617,26 3.852,66 3.235,70 736,31 3.972,01
18 abr 2011 0,00 0,00 0,00 1.526,07 260,75 1.786,82 3.084,98 596,05 3.681,03 3.085,27 711,00 3.796,27
18 jul 2011 0,00 0,00 0,00 1.492,11 251,90 1.744,01 3.016,33 575,82 3.592,15 3.016,61 686,87 3.703,48
17 oct 2011 0,00 0,00 0,00 1.458,21 243,25 1.701,46 2.947,80 556,04 3.503,84 2.948,07 663,28 3.611,35
16 ene 2012 0,00 0,00 0,00 1.413,07 234,79 1.647,86 2.856,55 536,71 3.393,26 2.856,81 640,22 3.497,03
16 abr 2012 0,00 0,00 0,00 1.358,35 226,60 1.584,95 2.745,93 517,98 3.263,91 2.746,18 617,88 3.364,06
16 jul 2012 0,00 0,00 0,00 1.316,57 218,72 1.535,29 2.661,47 499,98 3.161,45 2.661,71 596,40 3.258,11
16 oct 2012 0,00 0,00 0,00 1.286,18 213,41 1.499,59 2.600,04 487,83 3.087,87 2.600,28 581,91 3.182,19
16 ene 2013 0,00 0,00 0,00 1.246,07 205,87 1.451,94 2.518,96 470,59 2.989,55 2.519,19 561,35 3.080,54
16 abr 2013 0,00 0,00 0,00 1.188,21 194,25 1.382,46 2.402,00 444,03 2.846,03 2.402,22 529,66 2.931,88
16 jul 2013 0,00 0,00 0,00 1.160,63 189,52 1.350,15 2.346,24 433,21 2.779,45 2.346,45 516,76 2.863,21
16 oct 2013 0,00 0,00 0,00 1.132,80 184,79 1.317,59 2.289,98 422,42 2.712,40 2.290,19 503,89 2.794,08
16 ene 2014 0,00 0,00 0,00 1.097,13 178,15 1.275,28 2.217,87 407,24 2.625,11 2.218,07 485,78 2.703,85
16 abr 2014 0,00 0,00 0,00 1.045,87 167,99 1.213,86 2.114,25 384,00 2.498,25 2.114,44 458,06 2.572,50
16 jul 2014 0,00 0,00 0,00 1.021,42 163,79 1.185,21 2.064,82 374,40 2.439,22 2.065,01 446,61 2.511,62
16 oct 2014 0,00 0,00 0,00 997,05 159,60 1.156,65 2.015,55 364,83 2.380,38 2.015,73 435,19 2.450,92
16 ene 2015 0,00 0,00 0,00 965,44 153,76 1.119,20 1.951,66 351,47 2.303,13 1.951,84 419,26 2.371,10
16 abr 2015 0,00 0,00 0,00 920,68 144,88 1.065,56 1.861,17 331,17 2.192,34 1.861,34 395,04 2.256,38
