Cartera de préstamos hipotecarios al día 03.01.2005
Clasificación por relación principal pendiente /Valor Tasación,,,
Intervalos Relación,Préstamos
%,Principal pendiente
(euros) %,(%) Principal
pendiente/
V. Tasación *
0,01 - 5,00,19 0,25,262.398,78 0,03,3,57
5,01 - 10,00,85 1,10,1.719.425,84 0,22,8,24
10,01 - 15,00,150 1,94,4.559.635,74 0,57,12,71
15,01 - 20,00,201 2,60,7.738.717,61 0,97,17,60
20,01 - 25,00,261 3,37,13.175.335,45 1,66,22,68
25,01 - 30,00,321 4,15,20.913.724,09 2,63,27,71
30,01 - 35,00,394 5,09,30.657.632,44 3,86,32,49
35,01 - 40,00,478 6,18,38.805.808,60 4,89,37,54
40,01 - 45,00,544 7,03,47.691.638,21 6,01,42,75
45,01 - 50,00,564 7,29,56.542.483,64 7,12,47,57
50,01 - 55,00,635 8,21,66.951.856,14 8,43,52,50
55,01 - 60,00,667 8,62,76.154.334,94 9,59,57,45
60,01 - 65,00,722 9,33,83.066.498,33 10,46,62,45
