Cartera de préstamos hipotecarios al día 23.01.2007
Clasificación por la fecha amortización final,,,
Año de Amortización Final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2027,39 0,23,4.678.508,51 0,17,246,73 16/08/2027
2028,181 1,05,21.204.199,03 0,75,259,86 19/09/2028
2029,380 2,21,46.320.905,73 1,64,269,79 18/07/2029
2030,354 2,06,49.219.101,31 1,75,281,96 23/07/2030
2031,256 1,49,35.424.895,47 1,26,291,63 13/05/2031
2032,133 0,77,20.819.515,81 0,74,305,90 21/07/2032
2033,1.085 6,31,151.094.456,21 5,37,320,04 24/09/2033
2034,4.669 27,17,705.151.140,87 25,04,330,30 3/08/2034
2035,5.770 33,58,998.713.048,61 35,46,341,99 24/07/2035
2036,2.364 13,76,433.264.865,72 15,38,350,50 8/04/2036
2038,2 0,01,382.167,15 0,01,378,05 26/07/2038
2039,35 0,20,5.705.372,27 0,20,390,44 7/08/2039
2040,140 0,81,25.888.093,99 0,92,403,72 14/09/2040
2041,37 0,22,6.850.696,10 0,24,410,16 29/03/2041
2042,4 0,02,599.051,06 0,02,427,38 4/09/2042
2043,19 0,11,3.507.855,47 0,12,439,26 1/09/2043
2044,78 0,45,13.123.740,15 0,47,450,73 15/08/2044
2045,554 3,22,111.782.325,37 3,97,464,77 16/10/2045
2046,580 3,38,124.301.390,66 4,41,470,36 5/04/2046
Total 17.184 100,00 2.816.183.365,61 100,00,,,
Media p on derada: 344,58 11/10/2035
Media simple: 339,34 5/05/2035
Mínimo: 94,23 30/11/2014
Máximo: 476,22 30/06/2046
* Vida residual a la fecha de vencimiento final (en meses y fecha) son medias ponderadas por el principal pendiente de
los préstamos que tienen el vencimiento final en el año correspondiente.,,,
