Cartera de contratos de arrendamiento financiero seleccionados a 06.06.2007
Clasificación por Deudor,
,Operaciones Capital pendiente
% (euros) %
Deudor 1,1 0,001 5.922.021,00 0,20
Deudor 2,2 0,002 5.767.133,86 0,20
Deudor 3,7 0,008 5.615.810,40 0,19
Deudor 4,1 0,001 5.475.748,34 0,19
Deudor 5,2 0,002 5.066.550,78 0,17
Deudor 6,86 0,104 4.603.877,74 0,16
Deudor 7,14 0,017 4.465.832,88 0,15
Deudor 8,1 0,001 4.442.122,95 0,15
Deudor 9,2 0,002 4.215.681,15 0,14
Deudor 10,1 0,001 4.214.542,18 0,14
Resto Deudores 50.478,82.861 99,86 2.857.853.232,12 98,29
Total 50.488 deudores 82.978 100,00 2.907.642.553,40 100,00,
