Cartera de contratos de arrendamiento financiero seleccionados a 06.06.2007
Clasificación por fecha contabilización de la operación de arrendamiento financiero,,
Intervalo de fechas,Operaciones
%,Capital pendiente
(euros) %
Del 01/01/1999 al 30/06/1999,95 0,11,8.311.446,42 0,29
Del 01/07/1999 al 31/12/1999,112 0,13,14.162.973,88 0,49
Del 01/01/2000 al 30/06/2000,72 0,09,14.945.066,20 0,51
Del 01/07/2000 al 31/12/2000,15 0,02,2.145.646,13 0,07
Del 01/01/2001 al 30/06/2001,78 0,09,4.040.282,13 0,14
Del 01/07/2001 al 31/12/2001,130 0,16,16.154.755,02 0,56
Del 01/01/2002 al 30/06/2002,317 0,38,43.726.188,23 1,50
Del 01/07/2002 al 31/12/2002,264 0,32,57.491.869,59 1,98
Del 01/01/2003 al 30/06/2003,5.027 6,06,122.694.143,03 4,22
Del 01/07/2003 al 31/12/2003,3.443 4,15,129.256.551,82 4,45
