Cartera de contratos de arrendamiento financiero seleccionados a 06.06.2007
Clasificación por capital de las cuotas pendientes de vencer de las operaciones,,
Intervalo de capital
(en euros),Operaciones
Nº. %,Capital pendiente
(euros) %
0,00 -99.999,99,78.497 94,600,1.498.534.030,79 51,54
100.000,00 -199.999,99,2.498 3,010,342.655.421,98 11,78
200.000,00 -299.999,99,806 0,971,196.438.825,79 6,76
300.000,00 -399.999,99,366 0,441,127.141.757,27 4,37
400.000,00 -499.999,99,213 0,257,94.758.527,29 3,26
500.000,00 -599.999,99,138 0,166,75.084.440,39 2,58
600.000,00 -699.999,99,101 0,122,65.590.398,75 2,26
700.000,00 -799.999,99,66 0,080,49.338.032,04 1,70
800.000,00 -899.999,99,53 0,064,45.092.262,81 1,55
900.000,00 -999.999,99,38 0,046,36.173.888,08 1,24
1.000.000,00 -1.099.999,99,30 0,036,31.687.034,86 1,09
1.100.000,00 -1.199.999,99,20 0,024,22.937.537,35 0,79
1.200.000,00 -1.299.999,99,11 0,013,13.585.199,62 0,47
1.300.000,00 1.399.999,99,22 0,027,29.748.881,96 1,02
1.400.000,00 1.499.999,99,15 0,018,21.384.272,71 0,74
1.500.000,00 1.599.999,99,12 0,014,18.598.793,87 0,64
1.600.000,00 1.699.999,99,13 0,016,21.390.053,71 0,74
1.700.000,00 1.799.999,99,6 0,007,10.404.327,49 0,36
1.800.000,00 1.899.999,99,11 0,013,20.207.698,16 0,69
1.900.000,00 1.999.999,99,6 0,007,11.784.821,47 0,41
2.000.000,00 2.099.999,99,3 0,004,6.167.725,91 0,21
2.100.000,00 2.199.999,99,4 0,005,8.673.222,59 0,30
2.200.000,00 2.299.999,99,3 0,004,6.815.502,10 0,23
2.300.000,00 2.399.999,99,2 0,002,4.796.073,27 0,16
2.400.000,00 -2.499.999,99,2 0,002,4.935.542,67 0,17
2.500.000,00 -2.599.999,99,2 0,002,5.076.147,35 0,17
2.600.000,00 -2.699.999,99,7 0,008,18.518.309,56 0,64
2.700.000,00 -2.799.999,99,3 0,004,8.168.281,94 0,28
2.800.000,00 -2.899.999,99,1 0,001,2.803.453,53 0,10
2.900.000,00 -2.999.999,99,2 0,002,5.952.287,18 0,20
3.000.000,00 -3.099.999,99,4 0,005,12.210.527,49 0,42
3.100.000,00 -3.199.999,99,2 0,002,6.299.288,60 0,22
3.200.000,00 -3.299.999,99,2 0,002,6.575.037,16 0,23
3.400.000,00 -3.499.999,99,3 0,004,10.401.156,83 0,36
3.500.000,00 -3.599.999,99,1 0,001,3.514.307,38 0,12
3.600.000,00 -3.699.999,99,2 0,002,7.230.117,31 0,25
3.700.000,00 -3.799.999,99,1 0,001,3.707.040,19 0,13
3.800.000,00 -3.899.999,99,2 0,002,7.640.027,14 0,26
