Fondo,Fecha Constitución,Emitido,Saldo Bonos
30 de junio de 2008
Fondos de Titulización Hipotecaria,,,
TDA 4 - F.T.H.,22-abr-98,150.253.027€,19.741.488€
TDA 5 - F.T.H.,16-oct-98,1.171.973.634€,120.267.855€
TDA 6 - F.T.H.,20-ene-99,351.500.000€,49.670.195€
TDA 7 - F.T.H.,12-mar-99,1.051.700.000€,200.545.854€
TDA 8 - F.T.H.,9-abr-99,150.200.000€,34.090.773€
TDA 9 - F.T.H.,12-may-99,332.400.000€,64.360.199€
TDA 10 - F.T.H.,21-jul-99,240.500.000€,36.021.634€
TDA 11 - F.T.H.,24-ene-00,660.600.000€,144.781.717€
TDA 12 - F.T.H.,26-jun-00,513.900.000€,124.543.511€
Fondo,Fecha Constitución,Emitido,Saldo Bonos
30 de junio de 2008
Fondos de Titulización de Activos,,,
TDA 13-MIXTO - F.T.A.,5-dic-00,389.500.000€,107.860.320€
TDA 14-MIXTO - F.T.A.,20-jun-01,601.100.000€,195.591.479€
TDA 15-MIXTO - F.T.A.,4-nov-02,450.900.000€,188.375.959€
TDA 16-MIXTO - F.T.A.,26-may-03,532.000.000€,184.231.453€
TDA 17-MIXTO - F.T.A.,24-oct-03,455.000.000€,181.518.829€
TDA 18-MIXTO - F.T.A.,14-nov-03,421.000.000€,178.249.843€
TDA 19-MIXTO - F.T.A.,27-feb-04,600.000.000€,285.818.884€
TDA 20-MIXTO - F.T.A.,25-jun-04,421.000.000€,232.835.377€
TDA 21-MIXTO - F.T.A.,23-jul-04,775.000.000€,358.892.423€
TDA 22-MIXTO - F.T.A.,1-dic-04,530.000.000€,264.747.791€
TDA 23 - F.T.A.,17-mar-05,860.000.000€,498.287.656€
TDA 24- F.T.A.,28-nov-05,485.000.000€,332.420.100€
TDA 25- F.T.A.,29-jul-06,265.000.000€,196.837.378€
TDA 26-MIXTO - F.T.A.,5-jul-06,908.100.000€,700.528.463€
TDA 27- F.T.A.,20-dic-06,930.600.000€,772.223.367€
TDA 28- F.T.A.,18-jul-07,451.350.000€,426.797.896€
TDA 29- F.T.A.,25-jul-07,814.900.000€,751.893.645€
TDA 30- F.T.A.,12-mar-08,388.200.000€,376.092.681€
TDA PASTOR 1 - F.T.A.,25-feb-03,494.600.000€,195.409.555€
TDA CAM 1 - F.T.A.,13-mar-03,1.000.000.000€,432.103.518€
TDA CAM 2 - F.T.A.,27-jun-03,1.100.000.000€,485.831.655€
