CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAIXA PENEDÈS FTGENCAT 1 TDA
(División por localización geográfica del deudor)

VIDA INICIAL VIDA ACTUAL TIPO ACTUAL
SALDO Min. TIPO Máx. TIPO
NUM. SALDO ACTUAL PONDERADA POR PONDERADA POR PONDERADO POR
PROVINCIA DEUDOR ACTUAL ACTUAL ACTUAL
PRÉSTAMOS (euros) SALDO INICIAL SALDO ACTUAL SALDO ACTUAL
(%) (%) (%)
(meses) (meses) (%)
Barcelona 2.509 508.638.983,53 80,00 249,34 215,48 5,56 3,500 9,500
Gerona 268 45.821.784,42 7,21 235,60 205,29 5,57 4,000 8,900
Lerida 236 33.753.055,55 5,31 218,95 187,22 5,54 4,100 8,750
Tarragona 293 47.613.301,25 7,49 233,96 201,68 5,52 4,150 8,800
TOTALES 3.306 635.827.124,75 100,00 245,58 212,21 5,55 3,500 9,500
