CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAIXA PENEDÈS FTGENCAT 1 TDA
(División por tipo de interés de referencia y diferencial),
,
TIPO REFERENCIA PRÉ N S U T M AM . OS SALD (e O u r A o C s T ) UAL A S C A ( T % L U D ) A O L PO S V A N I L D D ( D m E A O R e IN A s IN e I D C s I A C I ) A I P A L O L R P S O V A N I L D D D ( A m E O R A e A A s C e C D T s T A U ) U A P A L O L R P S O T A N I L P D D O E O R ( A % A A C ) D C T O T U U A P A L O L R P S O D A N I L F D D E E O R R (% E A A N ) D C C O T I U A P A L O L R M A i C n ( T . % T U ) I A P L O M A á C x ( T . % U T ) I A P L O,
TOTALES FIJO 84 4.631.235,36 0,73 65,02 47,85 7,33 0,00 5,250 9,500
TOTALES EURIBOR AÑO BOE 2.295 533.092.967,61 83,84 244,99 217,60 5,53 0,95 3,500 8,425
0,50 - 1,00 1.040 257.273.121,94 48,26 250,20 222,58 5,35 0,75 3,500 5,944
1,00 - 1,50 1.152 246.027.802,94 46,15 229,14 203,16 5,61 1,05 3,530 6,250
1,50 - 2,00 73 13.010.009,44 2,44 257,10 232,18 6,12 1,54 4,750 6,543
2,00 - 2,50 18 15.160.022,66 2,84 420,16 370,82 6,73 2,02 5,603 6,943
2,50 - 3,00 7 247.655,73 0,05 73,41 57,07 7,13 2,53 6,849 7,340
3,00 - 3,50 5 1.374.354,90 0,26 90,75 71,55 7,44 3,00 5,498 8,425
TOTALES IRPH CAJAS NOMINAL 251 19.503.339,76 3,07 240,46 135,01 5,60 0,27 4,000 6,250
0,00 - 0,50 181 14.783.230,71 75,80 245,51 142,72 5,53 0,19 4,000 5,898
0,50 - 1,00 69 4.689.176,85 24,04 224,90 111,36 5,82 0,51 4,000 6,250
1,00 - 1,50 1 30.932,20 0,16 180,00 37,00 6,25 1,00 6,250 6,250
TOTALES IRPH CAJAS TAE 655 76.167.271,56 11,98 263,37 208,55 5,57 0,11 3,938 7,375
0,00 - 0,50 614 72.452.436,20 95,12 266,22 211,60 5,54 0,08 3,938 6,003
0,50 - 1,00 38 3.188.174,51 4,19 208,56 145,71 6,04 0,52 5,560 6,389
1,00 - 1,50 2 305.294,92 0,40 222,14 191,10 6,55 1,00 6,451 6,566
1,50 - 2,00 1 221.365,93 0,29 180,00 140,00 7,38 1,75 7,375 7,375
TOTALES MIBOR AÑO BOE 21 2.432.310,46 0,38 204,15 75,93 5,53 0,87 4,750 5,831
0,50 - 1,00 8 786.202,54 32,32 204,34 75,96 5,30 0,55 4,750 5,500
1,00 - 1,50 13 1.646.107,92 67,68 204,05 75,92 5,64 1,02 5,500 5,831,
TOTALES,3.306 635.827.124,75 100,00 245,58 212,21 5,55 3,500 9,500
