,,,,,31.12.2007,,31.12.2006,,(A)/(B),
,,,,,,,,,,
,BALANCE (millones de euros),,,,,,,,,
,,,,1.055,,965,,1,061,,
,,,,,911,,799,,1,035,
,,,,,890,,848,,1,050,
,,,,,,,,,-,
,,,,,890,,,,1,050,
,,,,,80,,,,1,067,
,,,,,79,,,,1,073,
,,,,,,,,,,
CUENTA DE RESULTADOS (millones de euros),,,,,,,,,,
,,,,,32,,24,,0,965,
,,,,,38,,30,,0,988,
,,,,,39,,31,,1,073,
,,,,,18,,12,,1,139,
,,,,,11,,8,,0,946,
,,,,,,,,,,
,RATIOS RELEVANTES (%),,,,,,,,,
,,,,,1,73,,1,39,,,
,,,,,13,41,,10,14,,,
,,,,,0,79,,0,77,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,RATIOS DE CAPITAL (NORMATIVA BIS) (%),,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,INFORMACIÓN ADICIONAL,,,,,,,,,
,,,,,,,,,,
,,,,,28.461,,27.241,,,
,,,,,301,,289,,,
,,,,,106,,103,,,
