Cartera de préstamos hipotecarios al día 05.02.2009
Clasificación por relación principal pendiente /Valor Tasación,,,
Intervalos Relación,Préstamos hipotecarios,Principal pendiente,(%) Principal
pendiente/
V. Tasación *
,%,(euros) %,
0,01 - 5,00,26 0,10,424.092,19 0,02,3,92
5,01 - 10,00,212 0,82,5.108.273,04 0,20,8,21
10,01 - 15,00,481 1,85,15.463.440,92 0,60,12,98
15,01 - 20,00,849 3,27,33.557.610,24 1,31,17,79
20,01 - 25,00,1.060 4,08,50.729.541,94 1,98,22,60
25,01 - 30,00,1.245 4,80,74.044.802,43 2,88,27,64
30,01 - 35,00,1.365 5,26,88.787.536,05 3,46,32,62
35,01 - 40,00,1.443 5,56,107.438.067,42 4,18,37,68
40,01 - 45,00,1.550 5,97,129.589.906,57 5,05,42,54
45,01 - 50,00,1.764 6,80,162.689.132,81 6,33,47,59
50,01 - 55,00,1.875 7,22,186.925.884,09 7,28,52,57
55,01 - 60,00,2.018 7,77,214.752.745,72 8,36,57,62
60,01 - 65,00,2.152 8,29,233.789.614,15 9,10,62,55
65,01 - 70,00,2.241 8,63,257.380.299,60 10,02,67,57
70,01 - 75,00,2.636 10,15,319.906.391,14 12,46,72,59
75,01 - 80,00,3.657 14,09,497.733.358,12 19,38,77,69
80,01 - 85,00,350 1,35,47.429.542,23 1,85,82,38
85,01 - 90,00,363 1,40,49.723.948,52 1,94,87,44
90,01 - 95,00,346 1,33,45.832.697,40 1,78,92,71
95,01 - 100,00,325 1,25,46.865.819,10 1,82,97,21
Total 25.958 100,00 2.568.172.703,68 100,00,,,
Media Ponderada: 61,29 %
Media Simple: 55,08 %
Mínimo: 0,28 %
Máximo: 99,99 %
*Relación Principal pendiente /V. Tasación son medias ponderadas por el principal pendiente.,,,
