,,,,,31.12.2008,,31.12.2007,,(A)/(B),
,,,,,,,,,,
,BALANCE (millones de euros),,,,,,,,,
,,,,1.119,,1.055,,1,061,,
,,,,,942,,911,,1,035,
,,,,,935,,890,,1,050,
,,,,,,,,,-,
,,,,,935,,,,1,050,
,,,,,85,,,,1,067,
,,,,,85,,,,1,073,
,,,,,,,,,,
CUENTA DE RESULTADOS (millones de euros),,,,,,,,,,
,,,,,31,,32,,0,965,
,,,,,38,,38,,0,988,
,,,,,41,,39,,1,073,
,,,,,21,,18,,1,139,
,,,,,10,,11,,0,946,
,,,,,,,,,,
,RATIOS RELEVANTES (%),,,,,,,,,
,,,,,1,98,,1,73,,,
,,,,,9,22,,13,41,,,
,,,,,0,74,,0,79,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,RATIOS DE CAPITAL (NORMATIVA BIS) (%),,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,INFORMACIÓN ADICIONAL,,,,,,,,,
,,,,,,,,,,
,,,,,29.449,,28.461,,,
,,,,,301,,301,,,
,,,,,108,,106,,,
