Cartera de préstamos hipotecarios al día 28.09.2009
Clasificación por Deudor,,
,Préstamos
hipotecarios
%,Principal pendiente
(euros) %
Deudor 1,1 0,008,496.830,08 0,044
Deudor 2,1 0,008,480.561,58 0,043
Deudor 3,2 0,016,475.427,18 0,042
Deudor 4,1 0,008,474.723,63 0,042
Deudor 5,1 0,008,464.536,19 0,041
Deudor 6,1 0,008,460.735,04 0,041
Deudor 7,1 0,008,452.385,06 0,040
Deudor 8,1 0,008,448.367,36 0,040
Deudor 9,1 0,008,447.615,60 0,040
Deudor 10,1 0,008,425.622,19 0,038
Resto: 12.185 deudores,12.196 99,910,1.124.915.573,99 99,590
Total deudores: 12.195 12.207 100,00 1.129.542.377,90 100,00,,
