Cartera de préstamos hipotecarios al día 28.09.2009
Clasificación por el tipo de interés nominal aplicable,,,
Intervalo % Tipo Interés,Préstamos hipotecarios
%,Principal pendiente
(euros) %,%Tipo*
interés
1,50 - 1,74,1 0,01,126.956,07 0,01,1,74
1,75 - 1,99,389 3,19,49.815.412,84 4,41,1,91
2,00 - 2,24,1.306 10,70,157.416.776,37 13,94,2,13
2,25 - 2,49,1.277 10,46,125.780.343,10 11,14,2,36
2,50 - 2,74,1.663 13,62,126.892.115,97 11,23,2,62
2,75 - 2,99,863 7,07,74.879.720,28 6,63,2,84
3,00 - 3,24,759 6,22,64.733.085,72 5,73,3,06
3,25 - 3,49,259 2,12,21.935.673,18 1,94,3,34
3,50 - 3,74,1.434 11,75,119.113.985,73 10,55,3,51
3,75 - 3,99,506 4,15,49.554.195,16 4,39,3,82
4,00 - 4,24,719 5,89,66.849.987,11 5,92,4,06
4,25 - 4,49,516 4,23,46.593.827,68 4,13,4,30
4,50 - 4,74,192 1,57,15.476.306,01 1,37,4,54
4,75 - 4,99,153 1,25,14.214.833,94 1,26,4,86
5,00 - 5,24,169 1,38,15.024.832,55 1,33,5,06
5,25 - 5,49,127 1,04,10.996.704,65 0,97,5,32
5,50 - 5,74,166 1,36,13.398.227,23 1,19,5,54
5,75 - 5,99,232 1,90,27.438.440,20 2,43,5,85
6,00 - 6,24,420 3,44,42.713.908,13 3,78,6,08
6,25 - 6,49,567 4,64,50.289.382,10 4,45,6,31
