Persona/órgano facultado para conceder el riesgo,Límite de riesgo acumulado,Garantía
Director + Interventor de oficina,Hasta 60.000 €,Personal
Director + Interventor de oficina (cat. Especial),Hasta 60.000 €,Personal
Departamento de inversiones,Hasta 90.000 €,Personal y real
Departamento de inversiones+ J.A. Negocio,Hasta 210.000 €,Personal y real
Departamento de inversiones+ Subd. General,Hasta 240.000 €,Personal y real
Departamento de inversiones+ Dirección Gral,Hasta 340.000 €,Personal y real
Jefe Área Negocio,Hasta 120.000 €,Personal y real
Jefe Área Negocio + Subd. General,Hasta 270.000 €,Personal y real
Jefe Área Negocio + Dirección General,Hasta 370.000 €,Personal y real
Subdirector General,Hasta 150.000 €,Personal y real
Subdirector General + Director General,Hasta 400.000 €,Personal y real
Dirección general,Hasta 250.000 €,Personal y real
