Cartera de préstamos hipotecarios al día 13.06.2013
Clasificación por el año amortización final,,,
Año de amortización final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2013,1 0,01,8.526,00 0,00,5,59 30/11/2013
2014,10 0,13,126.414,49 0,02,15,27 21/09/2014
2015,34 0,43,605.342,45 0,10,25,13 18/07/2015
2016,67 0,85,1.290.503,08 0,21,37,24 21/07/2016
2017,109 1,38,2.180.328,04 0,36,48,97 13/07/2017
2018,157 1,99,3.923.974,14 0,65,61,29 22/07/2018
2019,164 2,08,4.794.330,93 0,80,72,43 27/06/2019
2020,220 2,79,7.325.726,38 1,22,85,20 19/07/2020
2021,244 3,10,8.209.029,92 1,37,97,19 19/07/2021
2022,274 3,48,9.897.146,18 1,65,109,08 16/07/2022
2023,302 3,84,12.277.601,81 2,04,120,35 24/06/2023
2024,286 3,63,13.683.833,75 2,28,132,56 30/06/2024
2025,311 3,95,16.357.167,85 2,72,145,17 19/07/2025
2026,280 3,56,14.138.527,69 2,35,156,58 1/07/2026
2027,282 3,58,15.555.659,92 2,59,168,15 18/06/2027
2028,323 4,10,20.244.870,70 3,37,180,46 27/06/2028
2029,291 3,70,19.619.131,11 3,26,193,30 22/07/2029
2030,377 4,79,27.428.923,05 4,56,205,44 27/07/2030
2031,304 3,86,21.829.311,53 3,63,216,53 30/06/2031
2032,273 3,47,21.292.410,60 3,54,228,38 24/06/2032
2033,291 3,70,25.334.088,46 4,21,240,82 8/07/2033
2034,322 4,09,28.122.890,45 4,68,253,17 19/07/2034
2035,359 4,56,33.358.193,17 5,55,265,21 20/07/2035
2036,247 3,14,23.258.401,84 3,87,276,27 21/06/2036
2037,216 2,74,21.947.693,30 3,65,288,19 19/06/2037
2038,330 4,19,35.114.398,12 5,84,300,07 15/06/2038
2039,350 4,45,38.344.468,13 6,38,313,08 16/07/2039
2040,370 4,70,41.939.273,83 6,98,325,02 14/07/2040
2041,187 2,38,20.787.155,51 3,46,336,37 24/06/2041
2042,116 1,47,14.147.238,62 2,35,347,18 19/05/2042
2043,126 1,60,13.747.730,81 2,29,360,90 11/07/2043
2044,120 1,52,14.954.045,38 2,49,373,15 18/07/2044
2045,185 2,35,24.226.304,89 4,03,385,19 19/07/2045
2046,115 1,46,14.635.887,68 2,43,395,84 8/06/2046
2047,47 0,60,6.256.434,42 1,04,407,22 21/05/2047
2048,48 0,61,5.923.745,54 0,99,420,61 1/07/2048
2049,33 0,42,4.288.116,55 0,71,431,92 11/06/2049
2050,64 0,81,9.301.472,86 1,55,445,62 1/08/2050
2051,38 0,48,4.695.383,56 0,78,455,07 16/05/2051
Total 7.873 100,00 601.171.682,74 100,00,,,
Media p on derada: 263,09 17.05.2035
Media simple: 222,11 17.12.2031
Mínimo: 5,59 30.11.2013
Máximo: 459,73 05.10.2051
* Vida residual a la fecha de vencimiento final (en meses y fecha) son medias ponderadas por el principal pendiente de
los préstamos hipotecarios que tienen el vencimiento final en el año correspondiente.,,,
