,,,,,,,,,,31.12.2011,,,(A-B)/(B),
,,,,,,,,,,,,,,
,BALANCE(milesdeeuros),,,,,,,,,,,,,
,,,,,,,,,1.692.425,,,2,33,,
,,,,,,,,,,1.202.444,,,-6,73,
,,,,,,,,,,1.082.595,,,-0,07,
,,,,,,,,,,160.901,,,13,49,
,,,,,,,,,,1.243.496,,,1,69,
,,,,,,,,,,124.888,,,1,48,
,,,,,,,,,,134.105,,,-5,03,
,,,,,,,,,,,,,,
,CUENTADERESULTADOS(milesdeeuros),,,,,,,,,,,,,
,,,,,,,,,,27.745,,,8,58,
,,,,,,,,,,40.366,,,21,06,
,,,,,,,,,,5.812,,,-82,04,
,,,,,,,,,,4.444,,,-95,32,
,,,,,,,,,27.745,,,8,58,,
,,,,,,,,,,27.745,,,8,58,
,,,,,,,,,,,,,,
,RATIOSRELEVANTES(%),,,,,,,,,,,,,
,,,,,,,,,1,29,,,,,
,,,,,,,,,,3,06,,,,
,,,,,,,,,,0,23,,,,
,,,,,,,,,0,37,,,,,
,,,,,,,,,,0,37,,,,
,,,,,,,,,,39,67,,,,
,,,,,,,,,,43,99,,,,
,,,,,,,,,,3,80,,,,
,,,,,,,,,2,55,,,,,
,,,,,,,,,,2,55,,,,
,,,,,,,,,,88,22,,,,
,,,,,,,,,,,,,,
,RATIOSDECAPITAL(%),,,,,,,,,,,,,
,,,,,,,,,,11,23,,,,
,,,,,,,,,,1,50,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,INFORMACIÓNADICIONAL,,,,,,,,,,,,,
,,,,,,,,,220,,,,,
,,,,,,,,,,80,,,,
