Carteradepréstamoshipotecariosaldía19.06.2013
Clasificaciónporeltipodeinterésnominalaplicable,,,,,,
Intervalo%TipoInterés,Préstamoshipotecarios
%,,Principalpendiente
(euros) %,,%Tipo*
interés,
0,7500 - 0,9999,41 1,93,,4.430.178,79 2,33,,0,96,
1,0000 - 1,2499,340 15,98,,32.770.530,66 17,26,,1,10,
1,2500 - 1,4999,191 8,98,,17.979.250,18 9,47,,1,35,
1,5000 - 1,7499,192 9,02,,15.660.343,22 8,25,,1,62,
1,7500 - 1,9999,123 5,78,,9.642.562,67 5,08,,1,86,
2,0000 - 2,2499,105 4,93,,8.782.743,75 4,63,,2,05,
2,2500 - 2,4999,73 3,43,,6.026.390,85 3,17,,2,28,
2,5000 - 2,7499,165 7,75,,15.469.404,56 8,15,,2,52,
2,7500 - 2,9999,108 5,08,,10.085.922,28 5,31,,2,81,
3,0000 - 3,2499,472 22,18,,45.059.292,63 23,73,,3,00,
3,2500 - 3,4999,68 3,20,,5.774.938,13 3,04,,3,25,
3,5000 - 3,7499,104 4,89,,8.147.873,12 4,29,,3,50,
3,7500 - 3,9999,17 0,80,,983.699,24 0,52,,3,76,
4,0000 - 4,2499,100 4,70,,7.380.696,98 3,89,,4,00,
4,2500 - 4,4999,14 0,66,,794.746,13 0,42,,4,25,
4,5000 - 4,7499,7 0,33,,421.848,71 0,22,,4,50,
4,7500 - 4,9999,1 0,05,,115.138,50 0,06,,4,75,
5,0000 - 5,2499,6 0,28,,303.790,25 0,16,,5,00,
5,2500 - 5,4999,1 0,05,,25.258,20 0,01,,5,25,
Total 2.128 100,00 189.854.608,85 100,00,,,,,,
Mediaponderada: 2,27%
Mediasimple: 2,31%
Mínimo: 0,80%
Máximo: 5,25%
*Tipodeinterésnominalmediodelintervaloponderadoporelprincipalpendiente.,Mediaponderada:,,,,2,27,%
,Mediasimple:,,,,2,31,%
,Mínimo:,,,,0,80,%
,Máximo:,,,,5,25,%
