Carteradepréstamoshipotecariosaldía19.06.2013
Clasificaciónporelañoamortizaciónfinal,,,
Añodeamortizaciónfinal,Préstamos
hipotecarios
%,Principalpendiente
(euros) %,VidaResidualmp*
Años Fecha
2036,102 4,79,11.255.208,10 5,93,23,11 27/07/2036
2037,75 3,52,7.950.072,56 4,19,24,01 23/06/2037
2038,96 4,51,10.137.905,08 5,34,24,97 10/06/2038
2039,96 4,51,11.138.823,19 5,87,26,13 6/08/2039
2040,138 6,48,16.652.610,37 8,77,27,07 13/07/2040
2041,71 3,34,8.915.198,35 4,70,28,14 10/08/2041
2042,43 2,02,5.316.348,62 2,80,29,04 2/07/2042
2043,36 1,69,4.889.015,55 2,58,30,04 5/07/2043
2044,47 2,21,6.555.444,86 3,45,31,10 25/07/2044
2045,78 3,67,10.987.460,44 5,79,32,06 9/07/2045
2046,24 1,13,2.988.230,73 1,57,33,16 15/08/2046
2047,7 0,33,1.216.539,49 0,64,34,13 5/08/2047
2048,5 0,23,769.692,06 0,41,35,05 8/07/2048
2049,1 0,05,122.774,02 0,06,36,30 5/10/2049
2050,7 0,33,1.046.189,66 0,55,37,01 22/06/2050
2051,2 0,09,239.601,20 0,13,37,85 26/04/2051
Total 2.128 100,00 189.854.608,85 100,00,,,
Mediaponderada: 22,30 8.10.2035
Mediasimple: 19,50 19.12.2032
Mínimo: 0,27 24.09.2013
Máximo: 38,12 31.07.2051
* Vidaresidualalafechadevencimientofinal(enmesesyfecha)sonmediasponderadasporelprincipalpendientede
lospréstamoshipotecariosquetienenelvencimientofinalenelañocorrespondiente.,,,
