Carteradepréstamoshipotecariosaldía19.06.2013
ClasificaciónporComunidadesAutónomas,,
,Préstamoshipotecarios
%,Principalpendiente
(euros) %
Andalucía,9 0,42,906.292,53 0,48
Aragón,581 27,30,55.836.479,29 29,41
Asturias,2 0,09,152.794,76 0,08
Baleares,1 0,05,123.561,47 0,07
Canarias,1 0,05,80.186,34 0,04
Cantabria,1 0,05,125.294,05 0,07
Cataluña,17 0,80,1.542.944,72 0,81
PaísVasco,1 0,05,118.124,14 0,06
Galicia,36 1,69,2.526.324,48 1,33
Castilla-León,1.367 64,24,115.136.651,65 60,64
Madrid,52 2,44,7.444.453,79 3,92
CastillaLaMancha,17 0,80,1.879.131,47 0,99
Navarra,2 0,09,262.914,18 0,14
LaRioja,6 0,28,668.576,15 0,35
ComunidadValenciana,35 1,64,3.050.879,83 1,61
Total 2.128 100,00 189.854.608,85 100,00,,
