Cartera de préstamos al día 05.11.2005
Clasificación por sectores de actividad económica,,
CNAE,Préstamos
%,Principal pendiente
(euros) %
AA Agricultura, ganadería, caza y selvicultura,25 1,07,2.865.284,84 0,37
BB Pesca,7 0,30,12.675.603,93 1,63
CA Extracción de productos energéticos,1 0,04,47.811,59 0,01
CB Extracción de otros minerales excepto productos energéticos,12 0,51,1.574.715,02 0,20
DA Industria de la alimentación, bebidas y tabaco,57 2,44,8.237.025,31 1,06
DB Industria textil y de la confección,33 1,41,3.515.279,11 0,45
DC Industria del cuero y del calzado,5 0,21,961.148,41 0,12
DD Industria de la madera y del corcho,45 1,92,7.059.277,08 0,91
DE Industria del papel; edición, artes gráficas y reproducción de,45 1,92,9.431.651,75 1,22
soportesgrabados
DG Industria química,17 0,73,3.519.281,06 0,45
DH Industria de la transformación del caucho y materias plásticas,20 0,86,3.822.917,13 0,49
DI Industrias de otros productos minerales no metálicos,38 1,63,11.873.695,03 1,53
DJ Metalurgia y fabricación de productos metálicos,90 3,85,16.463.811,23 2,12
DK Industria de la construcción de maquinaria y equipo mecánico,26 1,11,3.336.114,53 0,43
DL Industria de material y equipo eléctrico, electrónico y óptico,22 0,94,1.288.918,89 0,17
DM Fabricación de material de transporte,8 0,34,3.601.079,97 0,46
DN Industrias manufactureras diversas,39 1,67,3.001.057,86 0,39
EE Producción y distribución de energía eléctrica, gas y agua,11 0,47,2.991.145,49 0,39
FF Construcción,269 11,51,73.801.991,61 9,52
Comercio, reparación de vehículos de motor, motocicletas y
GG
ciclomotores y artículos personales y de uso doméstico,493 21,09,61.691.088,62 7,95
HH Hostelería,119 5,09,33.106.920,62 4,27
II Transporte, almacenamiento y comunicaciones,147 6,29,19.797.128,08 2,55
JJ Intermediación financiera,11 0,47,15.348.991,82 1,98
KK Actividades inmobiliarias y de alquiler; servicios empresariales,686 29,34,456.866.473,70 58,91
MM Educación,5 0,21,4.642.943,16 0,60
NN Actividades sanitarias y veterinarias; servicios sociales,35 1,50,4.411.156,89 0,57
Otras actividades sociales y de servicios prestados a la
OO
comunidad; servicios personales,72 3,08,
