Cartera de préstamos al día 05.11.2005
Clasificación por principal pendiente,,,,
Intervalo de principal
(en euros),Préstamos
Nº. %,Principal pendiente
(euros) %,,
0,00 499.999,99,2.029 89,38,186.982.669,60 33,55,,
500.000,00 999.999,99,116 5,11,80.236.907,59 14,39,,
1.000.000,00 1.499.999,99,53 2,33,62.918.920,19 11,29,,
1.500.000,00 1.999.999,99,21 0,93,34.644.073,55 6,22,,
2.000.000,00 2.499.999,99,12 0,53,26.370.922,54 4,73,,
2.500.000,00 2.999.999,99,7 0,31,18.570.165,72 3,33,,
3.000.000,00 3.499.999,99,10 0,44,31.835.633,00 5,71,,
3.500.000,00 3.999.999,99,2 0,09,7.183.112,69 1,29,,
4.000.000,00 4.499.999,99,5 0,22,20.706.253,07 3,71,,
4.500.000,00 4.999.999,99,4 0,18,18.865.735,97 3,38,,
5.000.000,00 5.499.999,99,3 0,13,16.190.665,22 2,90,,
5.500.000,00 5.999.999,99,2 0,09,11.500.000,00 2,06,,
6.000.000,00 6.499.999,99,3 0,13,18.214.000,00 3,27,,
7.500.000,00 7.999.999,99,2 0,09,15.177.491,24 2,72,,
8.000.000,00 8.499.999,99,1 0,04,8.000.000,00 1,44,,
Total 2.270 100,00 557.396.550,38 100,00,,,,
,Principal medio:,245.549,14,,
,Principal mínimo:,1,18,,
,Principal máximo:,8.000.000,00,,
