Cartera de préstamos al día 05.11.2005
Clasificación por el tipo de interés nominal aplicable,,,,,,
Intervalo % Tipo Interés,Préstamos
%,,Principal pendiente
(euros) %,,%Tipo*
interés,
2,00 - 2,49,9 0,40,,1.399.029,82 0,25,,2,28,
2,50 - 2,99,368 16,21,,51.987.945,85 9,33,,2,73,
3,00 - 3,49,323 14,23,,132.162.022,10 23,71,,3,20,
3,50 - 3,99,476 20,97,,183.276.090,25 32,88,,3,68,
4,00 - 4,49,347 15,29,,119.807.918,85 21,49,,4,10,
4,50 - 4,99,201 8,85,,45.481.046,80 8,16,,4,56,
5,00 - 5,49,126 5,55,,9.239.052,80 1,66,,5,09,
5,50 - 5,99,204 8,99,,8.613.506,15 1,55,,5,54,
6,00 - 6,49,56 2,47,,1.718.309,49 0,31,,6,03,
6,50 - 6,99,68 3,00,,1.763.305,00 0,32,,6,54,
7,00 - 7,49,40 1,76,,927.794,27 0,17,,7,07,
7,50 - 7,99,46 2,03,,965.186,46 0,17,,7,57,
8,00 - 8,49,2 0,09,,12.440,57 0,00,,8,11,
8,50 - 8,99,4 0,18,,42.901,97 0,01,,8,79,
Total 2.270 100,00 557.396.550,38 100,00,,,,,,
Media ponderada: 3,72 %
Media simple: 4,13 %
Mínimo: 2,10 %
Máximo: 8,90 %
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,Media ponderada:,,,,3,72,%
,Media simple:,,,,4,13,%
,Mínimo:,,,,2,10,%
,Máximo:,,,,8,90,%
