GC FTPYME PASTOR 4, F.T.A,,,,,,,,,
ESCENARIO,,,,5% TAA,,10% TAA,,,15% TAA
,ESCENARIO,,,,,,,,
Serie A1,,Vida Media (años),1,04,,0,97,,,0,90,
,,TIR,3,639%,,3,639%,,,3,639%,
,,Duración,1,0233,,0,9492,,,0,8836,
Serie A2,,Vida Media (años),4,10,,3,61,,,3,23,
,,TIR,3,744%,,3,744%,,,3,744%,
,,Duración,3,7683,,3,3534,,,3,0274,
Serie A3G,,Vida Media (años),8,39,,7,14,,,6,16,
,,TIR,3,621%,,3,621%,,,3,621%,
,,Duración,7,2835,,6,3361,,,5,5576,
Serie B,,Vida Media (años),5,74,,5,02,,,4,46,
,,TIR,3,905%,,3,905%,,,3,905%,
,,Duración,5,1441,,4,5660,,,4,1051,
Serie C,,Vida Media (años),5,74,,5,02,,,4,46,
,,TIR,4,021%,,4,021%,,,4,021%,
,,Duración,5,1239,,4,5504,,,4,0926,
Serie D,,Vida Media (años),5,74,,5,02,,,4,46,
,,TIR,4,218%,,4,218%,,,4,218%,
,,Duración,5,0766,,4,5126,,,4,0613,
Serie E,,Vida Media (años),5,74,,5,02,,,4,46,
,,TIR,5,849%,,5,849%,,,5,849%,
,,Duración,4,8567,,4,3429,,,3,9266,
Fecha de Liquidación Anticipada del Fondo,,,15/04/2015,,15/01/2014,,,15/01/2013,
Vencimiento (años),,,8,42,,7,17,,,6,17,
