Cartera de Préstamos Hipotecarios a 29 de mayo de 2007,,,,
Clasificación por Fecha de Amortización Final,,,,
,Préstamos Hipotecarios,,Principal Pendiente,
Año,Nº,%,Importe,%
2008
2009
2010
2011
2012
2013
2014
2015
2016
2017
2018
2019
2020
2021
2022
2023
2024
2025
2026
2027
2028
2029
2030
2031
2032
2033
2034
2035
2036
2037
2038
2039
2040
2041
2043,2 0,03%
2 0,03%
5 0,08%
10 0,17%
8 0,13%
19 0,32%
36 0,60%
19 0,32%
149 2,50%
25 0,42%
240 4,03%
28 0,47%
41 0,69%
618 10,37%
30 0,50%
38 0,64%
107 1,80%
53 0,89%
476 7,99%
32 0,54%
38 0,64%
50 0,84%
79 1,33%
690 11,58%
31 0,52%
51 0,86%
93 1,56%
230 3,86%
1.628 27,32%
9 0,15%
10 0,17%
28 0,47%
143 2,40%
939 15,76%
1 0,02%,,570.400,00 0,06%
24.909,55 0,00%
965.790,43 0,10%
843.844,40 0,09%
369.879,12 0,04%
1.879.728,37 0,20%
2.423.679,43 0,26%
3.808.622,27 0,41%
23.392.695,70 2,49%
3.077.949,03 0,33%
27.319.724,43 2,91%
7.187.727,70 0,77%
5.356.526,77 0,57%
89.566.759,84 9,53%
4.316.190,19 0,46%
5.416.236,08 0,58%
12.909.636,67 1,37%
8.436.462,81 0,90%
58.786.488,47 6,26%
4.749.138,71 0,51%
4.845.536,36 0,52%
8.584.809,34 0,91%
12.177.182,88 1,30%
96.375.693,82 10,26%
3.812.020,42 0,41%
7.969.947,03 0,85%
17.057.122,68 1,82%
44.027.017,13 4,69%
281.505.668,96 29,97%
1.188.425,67 0,13%
1.812.316,85 0,19%
5.549.280,38 0,59%
28.060.139,81 2,99%
164.963.436,44 17,56%
114.049,12 0,01%,
Total Cartera,5.958,100,00%,939.445.036,86,100,00%
Vencimiento Mínimo 31/05/2008
Vencimiento Máximo 30/06/2043
Vencimiento Medio Ponde-
rado 25,23 años,,,,
