Fondo de Titulización,Fecha,Emisión
Bonos,Saldo a,Saldo a,Saldo a
En miles de euros,Constitución,Inicial,31/05/2008,31/12/2007,31/12/2006
FONCAIXA HIPOTECARIO 1, FTH,14/07/1999,600.000,65.910,72.080,98.936
FONCAIXA HIPOTECARIO 2, FTH,22/02/2001,600.000,147.790,163.448,201.787
FONCAIXA HIPOTECARIO 3, FTH,06/07/2001,1.500.000,592.588,633.255,727.605
FONCAIXA HIPOTECARIO 4, FTH,13/12/2001,600.000,237.897,247.256,286.015
FONCAIXA HIPOTECARIO 5, FTH,15/10/2002,600.000,296.052,315.678,358.746
FONCAIXA HIPOTECARIO 6, FTH,17/12/2002,600.000,307.707,325.374,365.788
FONCAIXA HIPOTECARIO 7, FTH,26/09/2003,1.250.000,738.093,779.388,874.161
GC SABADELL 1, FTH,12/07/2004,1.200.000,679.687,708.860,822.346
FONCAIXA HIPOTECARIO 8, FTH,15/03/2005,1.000.000,708.403,730.280,818.578
GC FTGENCAT II, FTA,28/03/2003,950.000,205.547,238.707,338.914
GC FTPYME PASTOR 1, FTA,28/10/2003,225.000,47.020,56.224,81.846
FONCAIXA FTPYME 1, FTA,27/11/2003,600.000,153.377,165.171,415.000
GC FTPYME PASTOR 2, FTA,28/10/2004,800.000,228.034,263.557,388.917
GS COMPASS SPAIN 1, FTA,10/12/2004,150.000,124.566,24.920,39.965
GC FTPYME SABADELL 4, FTA,21/10/2005,750.000,445.309,475.399,750.000
FONCAIXA FTGENCAT 3, FTA,15/11/2005,656.500,392.815,413.796,656.500
GC FTGENCAT SABADELL 1, FTA,02/12/2005,500.000,500.000,500.000,500.000
FONCAIXA HIPOTECARIO 9, FTA,29/03/2006,1.500.000,1.126.121,1.162.473,1.346.163
FONCAIXA FTGENCAT 4, FTA,14/07/2006,606.000,427.509,606.000,606.000
GC FTGENCAT CAIXA SABADELL 1, FTA,19/10/2006,304.500,304.500,304.500,304.500
GC FPTYME PASTOR 4, FTA,07/11/2006,630.000,394.089,447.357,630.000
GC FPTYME SABADELL 5, FTA,22/11/2006,1.250.000,859.997,1.250.000,1.250.000
FONCAIXA HIPOTECARIO 10, FTA,24/05/2007,1.512.000,1.369.740,1.413.786,N/A
GC PASTOR HIPOTECARIO 5, FTA,26/06/2007,710.500,653.050,672.834,N/A
GC FPTYME SABADELL 6, FTA,27/06/2007,1.000.000,1.000.000,1.000.000,N/A
FONCAIXA FTGENCAT 5, FTA,27/11/2007,1.026.500,1.026.500,1.026.500,N/A
GC SABADELL EMPRESAS 2, FTA,19/03/2008,1.000.000,1.000.000,N/A,N/A
,TOTAL,22.121.000,14.032.299,13.996.844,11.861.768
