,Cartera de Operaciones a día 1 de junio de 2008,,,,,,,,,
Clasificación CNAE,,,,,,,,,,
,Clasificación CNAE,,,,,,,,,
,Descripción CNAE,,Operaciones,,,,,Principal Pendiente,,
,,,Número,,,%,Importe,,,%
,01-Agricultura, ganadería y caza,,972,,,5,88%,44.864.858,38,,,4,82%
,02-Selvicultura, explotación forestal,,47,,,0,28%,1.423.410,10,,,0,15%
,05-Pesca, acuicultura,,34,,,0,21%,2.695.055,69,,,0,29%
,11-Extracción de crudos de petróleo y gas,,1,,,0,01%,160.558,34,,,0,02%
,14-Extracción de minerales no metálicos,,9,,,0,05%,1.217.734,01,,,0,13%
,15-Industria de productos alimenticios,,139,,,0,84%,9.620.236,31,,,1,03%
,16-Industria del Tabaco,,3,,,0,02%,245.159,74,,,0,03%
,17-Fabricación de textiles,,105,,,0,64%,6.503.477,54,,,0,70%
,18-Industria de la confección,,50,,,0,30%,1.923.943,39,,,0,21%
,19-Preparación, y acabado del cuero,,8,,,0,05%,375.387,12,,,0,04%
,20-Industria de la madera y del corcho,,138,,,0,83%,6.639.363,71,,,0,71%
,21-Industria del papel,,23,,,0,14%,749.236,33,,,0,08%
,22-Edicición, artes gráficas y reproducción,,120,,,0,73%,3.713.773,93,,,0,40%
,24-Industria química,,27,,,0,16%,671.005,29,,,0,07%
,25-Fabricación de productos de caucho,,44,,,0,27%,3.253.283,22,,,0,35%
,26-Fabricación de otros prod. minerales,,35,,,0,21%,2.322.758,17,,,0,25%
,27-Metalúrgia,,65,,,0,39%,3.177.055,21,,,0,34%
,28-Fabricación de productos metálicos,,177,,,1,07%,8.592.633,01,,,0,92%
,29-Industria de la construcción de maquinaria,,81,,,0,49%,4.430.891,77,,,0,48%
,30-Fabricación de máquinas de oficina,,7,,,0,04%,226.279,64,,,0,02%
,31-Fabricación de maquinaria,,48,,,0,29%,2.058.022,07,,,0,22%
,32-Fabricación de material electrónico,,8,,,0,05%,178.349,45,,,0,02%
,33-Fabricación de equipo e instrumentos,,9,,,0,05%,576.105,71,,,0,06%
,34-Fabricación de vehículos de motor,,6,,,0,04%,518.539,02,,,0,06%
,35-Fabricación de otro material de transporte,,8,,,0,05%,379.800,11,,,0,04%
,36-Fabricación de muebles. Otras industrias,,100,,,0,60%,2.819.166,80,,,0,30%
,37-Reciclaje,,20,,,0,12%,1.102.446,85,,,0,12%
,40-Producción y distribución de energía,,57,,,0,34%,8.672.341,68,,,0,93%
,41-Captación, depuración y distribución,,9,,,0,05%,909.050,74,,,0,10%
,45-Construcción,,3.046,,,18,42%,135.329.133,17,,,14,54%
,50-Venta y mantenimiento de vehículos,,337,,,2,04%,13.603.988,97,,,1,46%
,51-Comercio al por mayor,,689,,,4,17%,35.034.629,20,,,3,76%
,52-Comercio al por menor,,3.888,,,23,51%,180.424.968,81,,,19,39%
,55-Hostelería,,1.327,,,8,03%,89.399.631,44,,,9,61%
,60-Transporte terrestre; Transporte por tuberías,,728,,,4,40%,29.864.300,55,,,3,21%
,61-Transporte marítimo y de cabotaje,,7,,,0,04%,381.840,26,,,0,04%
,62-Transporte aéreo y espacial,,4,,,0,02%,58.923,07,,,0,01%
,63-Actividades anexas a los transportes,,99,,,0,60%,4.259.144,52,,,0,46%
,64-Correos y telecomunicaciones,,62,,,0,37%,1.873.077,03,,,0,20%
,66-Seguros y planes de pensiones,,10,,,0,06%,723.729,40,,,0,08%
,70-Actividades inmobiliarias,,1.072,,,6,48%,172.852.393,80,,,18,57%
,71-Alquiler de maquinaria y equipo,,31,,,0,19%,1.055.573,20,,,0,11%
,72-Actividades informáticas,,118,,,0,71%,3.189.741,72,,,0,34%
,73-Investigación y desarrollo,,9,,,0,05%,1.424.735,33,,,0,15%
