Cartera de Operaciones a día 29 de octubre de 2007,,,,,,,
Clasificación CNAE,,,,,,,
,,,,,,,
Descripción CNAE,Operaciones,,,,Principal Pendiente,,
,Número,,%,Importe,,,%
40-Producción y distribución de energía,88,,0,32%,8.445.577,17,,,0,53%
41-Captación, depuración y distribución,11,,0,04%,548.683,54,,,0,03%
45-Construcción,3.551,,12,79%,154.312.637,24,,,9,75%
50-Venta, mantenimiento y reparación de,679,,2,45%,35.452.497,48,,,2,24%
51-Comercio al por mayor,1.288,,4,64%,75.433.231,49,,,4,77%
52-Comercio al por menor,5.077,,18,29%,226.630.803,30,,,14,32%
55-Hostelería,2.979,,10,73%,180.096.080,76,,,11,38%
60-Transporte terrestre; Transporte por,2.136,,7,70%,89.707.250,16,,,5,67%
61-Transporte marítimo, de cabotaje y otros,8,,0,03%,335.868,95,,,0,02%
62-Transporte aéreo y espacial,3,,0,01%,213.337,30,,,0,01%
63-Actividades anexas a los transportes.,163,,0,59%,8.760.578,14,,,0,55%
64-Correos y telecomunicaciones,140,,0,50%,4.375.369,05,,,0,28%
65-Banca Central, Interm. monetaria, arre,20,,0,07%,1.410.516,07,,,0,09%
66-Seguros y planes de pensiones excepto,24,,0,09%,1.383.291,27,,,0,09%
67-Actividades auxiliares a la intermediación,26,,0,09%,1.151.450,23,,,0,07%
70-Actividades inmobiliarias,1.726,,6,22%,274.602.693,55,,,17,35%
71-Alquiler de maquinaria y equipo sin o,63,,0,23%,2.892.159,72,,,0,18%
72-Actividades informáticas,227,,0,82%,10.021.889,99,,,0,63%
73-Investigación y desarrollo,16,,0,06%,789.345,23,,,0,05%
74-Otras actividades empresariales,2.019,,7,27%,140.112.473,96,,,8,85%
75-Administración pública, defensa y seguridad,45,,0,16%,1.564.158,38,,,0,10%
80-Educación,418,,1,51%,22.071.053,49,,,1,39%
85-Actividades sanitarias y veterinarias,983,,3,54%,58.451.851,98,,,3,69%
90-Actividades de saneamiento público,135,,0,49%,4.292.046,70,,,0,27%
91-Actividades asociativas,22,,0,08%,762.615,12,,,0,05%
92-Actividades recreativas, culturales,418,,1,51%,19.665.680,18,,,1,24%
93-Actividades diversas de servicios personales,929,,3,35%,36.139.292,38,,,2,28%
95-Hogares que emplean personal doméstico,20,,0,07%,425.334,23,,,0,03%
Total Cartera,27.757,,100,00%,1.582.927.504,58,,,100,00%
