FONCAIXA FTGENCAT 5, FTA,,,,
ESCENARIO,,5% TAA,10% TAA,15% TAA
Serie AS,Vida media (años),4,45,3,96,3,66
,Duración,4,35,3,87,3,58
,TIR,4,70%,4,70%,4,70%
Serie AG,Vida media (años),10,28,8,05,6,84
,Duración,10,01,7,85,6,67
,TIR,4,67%,4,67%,4,67%
Serie B,Vida media (años),10,21,8,02,6,89
,Duración,9,52,7,55,6,53
,TIR,5,07%,5,07%,5,07%
Serie C,Vida media (años),10,21,8,02,6,89
,Duración,9,4,7,48,6,47
,TIR,5,53%,5,53%,5,53%
Serie D,Vida media (años),10,95,8,67,7,39
,Duración,8,45,6,99,6,11
,TIR,8,67%,8,67%,8,67%
Fecha de Liquidación Anticipada del Fondo,,10/07/2021,10/07/2018,10/10/2016
Vencimiento (años),,13,63,10,63,8,88
