,Cartera de Operaciones a día 29 de octubre de 2007,,,,,,,
,Clasificación CNAE,,,,,,,
,,,,,,,,
,Descripción CNAE,Operaciones,,,Principal Pendiente,,,
,,Número,,%,Importe,,%,
,01-Agricultura, ganadería, caza y actividades,1.961,,7,06%,78.964.133,02,,4,99%,
,02-Selvicultura, explotación forestal y,119,,0,43%,4.293.524,22,,0,27%,
,05-Pesca, acuicultura y actividades de l,162,,0,58%,9.233.925,17,,0,58%,
,10-Extracción y aglomeración de antracita,4,,0,01%,57.454,90,,0,00%,
,11-Extracción de crudos de petróleo y gas,6,,0,02%,458.412,38,,0,03%,
,13-Extracción de minerales de hierro y m,4,,0,01%,213.001,39,,0,01%,
,14-Extracción de minerales no metálicos,19,,0,07%,3.531.053,34,,0,22%,
,15-Industria de productos alimenticios y,289,,1,04%,22.381.577,18,,1,41%,
,16-Industria del Tabaco,4,,0,01%,153.288,50,,0,01%,
,17-Fabricación de textiles y productos t,193,,0,70%,8.745.257,57,,0,55%,
,18-Industria de la confección y de la pe,98,,0,35%,3.904.760,44,,0,25%,
,19-Preparación, y acabado del cuero,15,,0,05%,368.668,35,,0,02%,
,20-Industria de la madera y del corcho,,244,,0,88%,13.128.548,13,,0,83%,
,21-Industria del papel,46,,0,17%,3.066.151,02,,0,19%,
,22-Edición, artes gráficas y reproducción,234,,0,84%,10.697.133,01,,0,68%,
,23-DESCONOCIDO,1,,0,00%,63.656,15,,0,00%,
,24-Industria química,55,,0,20%,4.396.883,53,,0,28%,
,25-Fabricación de productos de caucho y,72,,0,26%,5.408.396,87,,0,34%,
,26-Fabricación de otros productos de minería,73,,0,26%,4.323.359,30,,0,27%,
,27-Metalurgia,137,,0,49%,6.624.158,71,,0,42%,
,28-Fabricación de productos metálicos ex,322,,1,16%,20.752.440,68,,1,31%,
,29-Industria de la construcción de maquinaria,125,,0,45%,7.304.146,06,,0,46%,
,30-Fabricación de máquinas de oficina,12,,0,04%,484.695,18,,0,03%,
,31-Fabricación de maquinaria y material,80,,0,29%,3.973.123,02,,0,25%,
,32-Fabricación de material electrónico,19,,0,07%,790.200,63,,0,05%,
,33-Fabricación de equipo e instrumentos,9,,0,03%,240.356,19,,0,02%,
,34-Fabricación de vehículos de motor,10,,0,04%,529.751,96,,0,03%,
,35-Fabricación de otro material de transporte,9,,0,03%,131.901,27,,0,01%,
,36-Fabricación de muebles. Otras industrias,190,,0,68%,7.103.376,19,,0,45%,
,37-Reciclaje,31,,0,11%,1.556.403,16,,0,10%,
