,Cartera de Operaciones a 29 de Octubre de 2007,,,,
,Concentración por deudor,,,,
Provincia,,Principal Pendiente,,,
,,Importe,,,%
,Deudor 1,9.754.367,00,,,0,62%
,Deudor 2,9.549.001,22,,,0,60%
,Deudor 3,7.438.010,97,,,0,47%
,Deudor 4,5.000.000,00,,,0,32%
,Deudor 5,4.948.987,35,,,0,31%
,Deudor 6,4.912.985,48,,,0,31%
,Deudor 7,3.269.567,70,,,0,21%
,Deudor 8,3.013.328,03,,,0,19%
,Deudor 9,2.865.689,12,,,0,18%
,Deudor 10,2.819.103,03,,,0,18%
,Resto deudores,1.529.356.464,68,,,96,62%
,Total Cartera,1.582.927.504,58,,,100,00%
