Cartera de Préstamos Hipotecarios a fecha 19 03 2007,,,,
PRINCIPAL PENDIENTE SOBRE LA TASACIÓN DE VALOR DE MERCADO DE LOS
PRESTAMOS HIPOTECARIOS DE PRIMER RANGO,,,,
INTERVALO,Nº préstamos,%Nº préstamos,Saldo Vivo,%Saldo vivo
0,02 - 4,99 3 0,03% 37.630,09 0,00%
5,00 - 9,99 26 0,29% 918.770,21 0,06%
10,00 - 14,99 69 0,77% 2.815.524,43 0,20%
15,00 - 19,99 105 1,17% 5.058.434,07 0,36%
20,00 - 24,99 145 1,61% 9.370.500,01 0,66%
25,00 - 29,99 203 2,26% 15.906.188,40 1,12%
30,00 - 34,99 233 2,59% 21.523.788,96 1,52%
35,00 - 39,99 374 4,16% 39.955.952,97 2,82%
40,00 - 44,99 394 4,38% 50.533.022,40 3,56%
45,00 - 49,99 408 4,54% 63.250.284,87 4,46%
50,00 - 54,99 513 5,71% 88.827.078,58 6,26%
55,00 - 59,99 564 6,27% 105.400.238,27 7,43%
60,00 - 64,99 569 6,33% 119.896.913,73 8,45%
65,00 - 69,99 702 7,81% 148.604.800,00 10,48%
70,00 - 74,99 618 6,87% 121.766.092,93 8,58%
75,00 - 79,99 3.705 41,20% 562.630.119,63 39,66%
80,00 - 84,99 323 3,59% 55.419.948,98 3,91%
85,00 - 89,99 18 0,20% 3.477.977,14 0,25%
90,00 - 94,99 14 0,16% 2.177.980,80 0,15%
95,00 - 100,00 6 0,07% 961.712,51 0,07%,,,,
TOTALES 8.992 100,00% 1.418.532.958,98 100,00%,,,,
