Cartera de Préstamos Hipotecarios a fecha 19 03 2007,,,,
PRINCIPAL PENDIENTE SOBRE LA TASACIÓN DE VALOR LEGAL DE LOS PRESTA-
MOS HIPOTECARIOS DE PRIMER RANGO,,,,
INTERVALO,Nº préstamos,%Nº préstamos,Saldo Vivo,%Saldo vivo
0,02 - 4,99 3 0,03% 37.630,09 0,00%
5,00 - 9,99 25 0,28% 900.786,24 0,06%
10,00 - 14,99 54 0,60% 2.179.037,02 0,15%
15,00 - 19,99 79 0,88% 3.820.577,75 0,27%
20,00 - 24,99 111 1,23% 6.873.376,38 0,48%
25,00 - 29,99 151 1,68% 11.648.713,36 0,82%
30,00 - 34,99 173 1,92% 16.009.763,62 1,13%
35,00 - 39,99 306 3,40% 32.724.684,96 2,31%
40,00 - 44,99 307 3,41% 38.373.504,09 2,71%
45,00 - 49,99 332 3,69% 51.829.045,37 3,65%
50,00 - 54,99 405 4,50% 72.240.328,48 5,09%
55,00 - 59,99 521 5,79% 99.051.695,56 6,98%
60,00 - 64,99 518 5,76% 106.916.859,38 7,54%
65,00 - 69,99 675 7,51% 142.510.599,60 10,05%
70,00 - 74,99 609 6,77% 118.882.712,74 8,38%
75,00 - 79,99 3.733 41,51% 565.943.797,64 39,90%
80,00 - 84,99 339 3,77% 58.622.614,85 4,13%
85,00 - 89,99 63 0,70% 11.839.508,44 0,83%
90,00 - 94,99 73 0,81% 11.504.412,58 0,81%
95,00 - 99,99 88 0,98% 13.347.001,73 0,94%
100,00 - 104,99 56 0,62% 9.149.886,87 0,65%
105,00 - 109,99 72 0,80% 9.830.425,00 0,69%
110,00 - 114,99 69 0,77% 9.215.431,00 0,65%
115,00 - 119,99 169 1,88% 17.794.806,98 1,25%
120,00 - 124,92 61 0,68% 7.285.759,25 0,51%,,,,
TOTALES 8.992 100,00% 1.418.532.958,98 100,00%,,,,
