Cartera de Préstamos Hipotecarios a fecha 19 03 2007,,,,
PRINCIPAL PENDIENTE DE LOS PRESTAMOS HIPOTECARIOS,,,,
INTERVALO (EUROS),Nº préstamos,%Nº préstamos,Saldo Vivo,%Saldo vivo
52,46 - 19.999,99 31 0,34% 472.405,33 0,03%
20.000,00 - 39.999,99 231 2,57% 7.532.548,90 0,53%
40.000,00 - 59.999,99 513 5,71% 26.382.139,60 1,86%
60.000,00 - 79.999,99 891 9,91% 63.338.740,79 4,47%
80.000,00 - 99.999,99 1.191 13,25% 107.624.494,93 7,59%
100.000,00 - 119.999,99 1.127 12,53% 123.834.998,72 8,73%
120.000,00 - 139.999,99 974 10,83% 126.166.204,13 8,89%
140.000,00 - 159.999,99 780 8,67% 116.652.776,99 8,22%
160.000,00 - 179.999,99 639 7,11% 108.347.183,21 7,64%
180.000,00 - 199.999,99 503 5,59% 95.002.035,97 6,70%
200.000,00 - 219.999,99 361 4,01% 75.571.933,71 5,33%
220.000,00 - 239.999,99 268 2,98% 61.548.525,44 4,34%
240.000,00 - 259.999,99 249 2,77% 62.088.835,83 4,38%
260.000,00 - 279.999,99 201 2,24% 54.332.623,13 3,83%
280.000,00 - 299.999,99 191 2,12% 55.229.851,30 3,89%
300.000,00 - 319.999,99 131 1,46% 40.546.806,12 2,86%
320.000,00 - 339.999,99 99 1,10% 32.573.226,24 2,30%
340.000,00 - 359.999,99 107 1,19% 37.362.356,52 2,63%
360.000,00 - 379.999,99 86 0,96% 31.742.677,00 2,24%
380.000,00 - 399.999,99 76 0,85% 29.633.603,85 2,09%
400.000,00 - 419.999,99 73 0,81% 29.931.130,18 2,11%
420.000,00 - 439.999,99 40 0,44% 17.246.016,51 1,22%
430.000,00 - 449.999,99 26 0,29% 11.576.544,77 0,82%
450.000,00 - 606.275,85 204 2,27% 103.795.299,81 7,32%,,,,
TOTALES 8.992 100,00% 1.418.532.958,98 100,00%,,,,
