Cartera de Préstamos Hipotecarios a fecha 19 03 2007,,,,
FECHA DE FORMALIZACION DE LOS PRESTAMOS HIPOTECARIOS,,,,
INTERVALO,Nº DE
PRESTAMOS,% Nº
PRESTAMOS,SALDO VIVO,% SALDO VIVO
del 01/07/1997 al 30/09/1997 1 0,01% 30.325,54 0,00%
del 01/04/1998 al 30/06/1998 1 0,01% 28.357,26 0,00%
del 01/10/1998 al 31/12/1998 1 0,01% 43.984,42 0,00%
del 01/01/1999 al 31/03/1999 1 0,01% 32.956,25 0,00%
del 01/04/1999 al 30/06/1999 1 0,01% 34.189,88 0,00%
del 01/07/1999 al 30/09/1999 1 0,01% 68.771,51 0,00%
del 01/01/2000 al 31/03/2000 2 0,02% 79.844,36 0,01%
del 01/04/2000 al 30/06/2000 1 0,01% 48.339,42 0,00%
del 01/10/2001 al 31/12/2001 1 0,01% 61.597,28 0,00%
del 01/01/2002 al 31/03/2002 2 0,02% 76.471,04 0,01%
del 01/04/2002 al 30/06/2002 5 0,06% 319.838,02 0,02%
del 01/07/2002 al 30/09/2002 2 0,02% 146.586,05 0,01%
del 01/10/2002 al 31/12/2002 4 0,04% 281.802,49 0,02%
del 01/01/2003 al 31/03/2003 10 0,11% 973.723,08 0,07%
del 01/04/2003 al 30/06/2003 5 0,06% 386.770,90 0,03%
del 01/07/2003 al 30/09/2003 4 0,04% 150.387,77 0,01%
del 01/10/2003 al 31/12/2003 4 0,04% 317.568,31 0,02%
del 01/01/2004 al 31/03/2004 7 0,08% 764.025,37 0,05%
del 01/04/2004 al 30/06/2004 16 0,18% 1.763.201,84 0,12%
del 01/07/2004 al 30/09/2004 26 0,29% 3.023.802,91 0,21%
del 01/10/2004 al 31/12/2004 34 0,38% 4.270.391,17 0,30%
del 01/01/2005 al 31/03/2005 36 0,40% 3.538.206,74 0,25%
del 01/04/2005 al 30/06/2005 47 0,52% 5.856.531,63 0,41%
del 01/07/2005 al 30/09/2005 84 0,93% 10.436.285,34 0,74%
del 01/10/2005 al 31/12/2005 119 1,32% 14.850.943,28 1,05%
del 01/01/2006 al 31/03/2006 179 1,99% 23.220.797,09 1,64%
del 01/04/2006 al 30/06/2006 1.656 18,42% 228.445.229,96 16,10%
del 01/07/2006 al 30/09/2006 3.705 41,20% 594.494.731,25 41,91%,,,,
del 01/10/2006 al 31/12/2006 3.037 33,77% 524.787.298,82 37,00%,,,,
TOTALES 8.992 100,00% 1.418.532.958,98 100,00%,,,,
