Cartera de Préstamos Hipotecarios a fecha 19 03 2007,,,,
FECHA DE FORMALIZACION DE LOS PRESTAMOS ASOCIADOS NO HIPOTECARIOS,,,,
INTERVALO,Nº DE
PRESTAMOS,% Nº
PRESTAMOS,SALDO VIVO,% SALDO VIVO
del 01/01/2000 al 31/03/2000 1 0,05% 10.769,11 0,02%
del 01/04/2000 al 30/06/2000 1 0,05% 13.701,22 0,03%
del 01/04/2002 al 30/06/2002 1 0,05% 21.537,31 0,04%
del 01/10/2002 al 31/12/2002 2 0,09% 32.429,47 0,07%
del 01/01/2003 al 31/03/2003 3 0,14% 56.423,86 0,11%
del 01/04/2003 al 30/06/2003 3 0,14% 38.023,63 0,08%
del 01/07/2003 al 30/09/2003 2 0,09% 16.451,52 0,03%
del 01/10/2003 al 31/12/2003 1 0,05% 19.525,52 0,04%
del 01/01/2004 al 31/03/2004 3 0,14% 52.759,76 0,11%
del 01/04/2004 al 30/06/2004 12 0,55% 234.395,15 0,47%
del 01/07/2004 al 30/09/2004 12 0,55% 182.891,91 0,37%
del 01/10/2004 al 31/12/2004 20 0,91% 345.371,30 0,69%
del 01/01/2005 al 31/03/2005 17 0,77% 278.374,92 0,56%
del 01/04/2005 al 30/06/2005 14 0,64% 307.505,65 0,62%
del 01/07/2005 al 30/09/2005 33 1,50% 746.602,49 1,50%
del 01/10/2005 al 31/12/2005 52 2,37% 1.209.701,59 2,43%
del 01/01/2006 al 31/03/2006 94 4,28% 2.357.755,00 4,74%
del 01/04/2006 al 30/06/2006 434 19,76% 10.209.736,17 20,52%
del 01/07/2006 al 30/09/2006 954 43,44% 21.879.180,17 43,97%
del 01/10/2006 al 31/12/2006 537 24,45% 11.750.402,62 23,61%,,,,
TOTALES 2.196 100,00% 49.763.538,37 100,00%,,,,
