Cartera de Préstamos Hipotecarios a fecha 19 03 2007,,,,
FECHA DE FORMALIZACION DE LOS PRESTAMOS HIPOTECARIOS DE SEGUNDO RANGO,,,,
INTERVALO,Nº DE
PRESTAMOS,% Nº
PRESTAMOS,SALDO VIVO,% SALDO VIVO
del 01/07/2004 al 30/09/2004 1 0,19% 28.199,82 0,12%
del 01/10/2004 al 31/12/2004 1 0,19% 58.397,55 0,24%
del 01/01/2005 al 31/03/2005 1 0,19% 42.857,81 0,18%
del 01/04/2005 al 30/06/2005 1 0,19% 5.468,86 0,02%
del 01/07/2005 al 30/09/2005 1 0,19% 22.584,74 0,09%
del 01/10/2005 al 31/12/2005 6 1,14% 230.214,91 0,96%
del 01/01/2006 al 31/03/2006 13 2,48% 605.440,77 2,54%
del 01/04/2006 al 30/06/2006 111 21,14% 4.926.531,91 20,63%
del 01/07/2006 al 30/09/2006 239 45,52% 11.012.001,28 46,11%
del 01/10/2006 al 31/12/2006 151 28,76% 6.948.972,56 29,10%,,,,
TOTALES 525 100,00% 23.880.670,21 100,00%,,,,
