Cartera de Préstamos Hipotecarios a fecha 19 03 2007,,,,
AMORTIZACIÓN DE LOS PRESTAMOS HIPOTECARIOS,,,,
AÑOS AMORTIZACIÓN,Nº DE PRES-
TAMOS,% Nº PRES-
TAMOS,SALDO VIVO,% SALDO
VIVO
2012 5 0,06% 88.892,46 0,01%
2013 13 0,14% 587.398,49 0,04%
2014 8 0,09% 316.855,52 0,02%
2015 5 0,06% 297.922,95 0,02%
2016 103 1,15% 6.681.656,82 0,47%
2017 13 0,14% 1.327.094,01 0,09%
2018 34 0,38% 3.966.416,79 0,28%
2019 9 0,10% 598.901,85 0,04%
2020 17 0,19% 1.902.244,53 0,13%
2021 244 2,71% 23.218.286,18 1,64%
2022 24 0,27% 2.563.386,43 0,18%
2023 20 0,22% 1.998.130,28 0,14%
2024 30 0,33% 3.689.031,12 0,26%
2025 23 0,26% 2.922.728,30 0,21%
2026 468 5,20% 60.651.760,39 4,28%
2027 20 0,22% 3.016.185,17 0,21%
2028 31 0,34% 3.669.285,49 0,26%
2029 27 0,30% 3.358.281,81 0,24%
2030 39 0,43% 5.756.620,61 0,41%
2031 502 5,58% 73.425.065,67 5,18%
2032 39 0,43% 5.777.807,78 0,41%
2033 52 0,58% 6.647.994,19 0,47%
2034 82 0,91% 11.295.491,54 0,80%
2035 129 1,43% 17.936.751,69 1,26%
2036 2.642 29,38% 454.474.650,97 32,04%,,,,
