FONDOS DE TITULIZACION DE ACTIVOS
AGENCIA DE FECHA SALDO INICIAL
FONDOS SERIES SALDO VIVO POR SERIE TIPO POR SERIES CALIFICACION CONSTITUCION ACTIVOS
FTA SANTANDER 1 Pag.Inter S&P España / Moody´s 26/11/1998 1.202.024.208,77 €
n 4.353.992.495,00 €
Pag. Nac. 466.500.000,00 € España
Total 4.820.492.495,00 €
FTA UCI 6 Serie A 97.661.432,34 € Euribor 3M + 0.295% Moody´s España 19/6/2000 457.000.000,00 €
Serie B 8.594.204,64 € Euribor 3M + 0.775%
Total 106.255.636,98 €
FTA UCI 7 Serie A 121.754.131,92 € Euribor 3M + 0.250% S&P España / Moody´s 25/10/2001 455.000.000,00 €
Serie B 8.522.788,08 € Euribor 3M + 0.700% España
Total 130.276.290,00 €
FTA HIPOTEBANSA X Serie A Euribor 3M + 0.21% S&P España / Moody´s 4/3/2002 917.000.000,00 €
339.455.975,43 €
Serie B 18.300.000,00 € Euribor 3M + 0.55% España
Total 383.268.974,90 €
FTA FTPYME BANESTO 1 SERIE 0,00 € Euribor 3M + 0.01% Fitch IBCA / Moody´s 11/6/2002 500.000.000,00 €
SAE1R(GIE) A1 0,00 € Euribor 3M + 0.35% España
SERIE 0,00 € Euribor 3M + 0.04%
A2(G)
SERIE A2 0,00 € Euribor 3M + 0.38%
SERIE Euribor 3M + 0.07%
A3(G) 166.700.000,00 €
SERIE A3 41.700.000,00 € Euribor 3M + 0.48%
SERIE Euribor 3M + 0.20%
B(G) 1.468.663,50 €
SERIE B 1.468.663,50 € Euribor 3M + 0.90%
SERIE C 1.958.218,00 € Euribor 3M + 1.80%
Total 213.295.545,00 €
FTA UCI 8 Serie A 158.552.356,38 € Euribor 3M + 0.220% S&P España / Moody´s 24/6/2002 600.000.000,00 €
Serie B 10.464.456,42 € Euribor 3M + 0.600% España
Total 169.016.812,80 €
FTA HIPOTEBANSA 11 Serie A 483.942.649,44 € Euribor 3M + 0.24% S&P España / Moody´s 26/11/2002 1.062.000.000,00 €
Serie B 21.200.000,00 € Euribor 3M + 0.45% España
Total 550.497.695,12 €
SANTANDER CONSUMER Serie A 228.760.493,20 € Euribor 3M + 0.30% Fitch / Moody´s España 9/12/2002 850.000.000,00 €
FINANCE SPAIN 02-1 FTA Serie B 14.790.257,55 € Euribor 3M + 0.60%
Total 243.550.750,75 €
FTA CONSUMO SANTANDER 1 Serie A Euribor 3M + 0.25% S&P España / Moody´s 4/3/2003 1.080.000.000,00 €
114.133.406,40 €
Serie B 37.800.000,00 € Euribor 3M + 0.43% España
Serie C 35.100.000,00 € Euribor 3M + 0.73%
Serie D 35.100.000,00 € Euribor 3M + 1.40%
Total 222.133.406,40 €
FTA UCI 9 Serie A 422.304.730,47 € Euribor 3M + 0.265% S&P España / Moody´s 16/6/2003 1.250.000.000,00 €
Serie B 31.315.942,25 € Euribor 3M + 0.65 % España
Serie C 6.907.928,40 € Euribor 3M + 1.20 %
Total 460. 528.601,12 €
FTA FTPYME SANTANDER 1 Serie A 443.099.287,89 € Euribor 3M + 0.25% Fitch / Moody´s España 24/9/2003 1.800.000.000,00 €
Serie Euribor 3M + 0.00%
B1(G) 537.100.000,00 €
Serie B2 134.300.000,00 € Euribor 3M + 0.40%
Serie C 27.000.000,00 € Euribor 3M + 0.90%
Serie D 87.300.000,00 € Euribor 3M + 1.80%
Total 1.228.799.287,89 €
FTA SANTANDER Serie A 1.036.136.774,4 € Euribor 3M + 0.18% S&P España / Moody´s 11/6/2004 1.875.000.000,00 €
HIPOTECARIO 1 Serie B 53.400.000,00 € Euribor 3M + 0.30% España
Serie C 46.900.000,00 € Euribor 3M + 0.50%
Serie D 56.300.000,00 € Euribor 3M + 0.95%
Total 1.192.736.774,40 €
FTA FTPYME SANTANDER 2 Serie A 650.133.502,2 € Euribor 3M + 0.20% S&P España 21/10/2004 1.850.000.000,00 €
Serie B 197.659.636,2 € Euribor 3M + 0.00%
Serie C 81.000.000,00 € Euribor 3M + 0.30%
Serie D 58.500.000,00 € Euribor 3M + 0.70%
Serie E 58.500.000,00 € Euribor 3M + 1.50%
Total 1.045.793.138.40 €
FTA UCI 11 Serie A 441.377.378,40 € Euribor 3M + 0.14% S&P España 17/11/2004 850.000.000,00 €
Serie B 6.000.000,00 € Euribor 3M + 0.33%
Serie C 22.900.000,00 € Euribor 3M + 0.75%
Total 470.227.378,40 €
