VEINTE MAYORES DEUDORES
Fecha de Saldo Porcentaje
Comunidad Valor de Fecha de
Deudor L.T.V. vencimient pendiente sobre el
Autónoma Tasación apertura
o (Euros) total (%)
1 Madrid 2.267.322,00 82,23% 28/10/2003 28/10/2023 1.864.423,99 0,06%
2 Madrid 2.019.800,00 80,06% 18/11/2005 18/11/2038 1.617.000,00 0,05%
3 Aragon 1.550.000,00 98,78% 18/09/2006 18/09/2021 1.531.041,47 0,05%
4 Cataluña 1.665.053,10 90,09% 16/11/2005 16/11/2030 1.500.000,00 0,05%
5 Cantabria 1.488.000,00 100,00% 12/05/2005 12/11/2034 1.488.000,00 0,05%
6 Cataluña 1.318.526,05 96,93% 31/07/2006 31/07/2046 1.278.000,00 0,04%
7 Madrid 1.509.958,83 80,80% 03/10/2006 03/10/2036 1.220.000,00 0,04%
8 Madrid 1.200.000,00 97,33% 13/09/2006 13/09/2018 1.167.961,27 0,04%
9 Madrid 1.422.273,72 80,94% 10/12/2004 10/12/2034 1.140.000,00 0,04%
10 Madrid 1.408.454,94 80,12% 11/01/2006 11/10/2036 1.139.563,70 0,04%
11 Madrid 1.345.981,62 81,72% 15/02/2006 15/02/2036 1.100.000,00 0,04%
12 Andalucia 1.103.008,00 96,52% 29/06/2005 29/06/2035 1.064.641,88 0,04%
13 Madrid 1.100.400,00 94,09% 17/03/2005 17/03/2025 1.035.322,57 0,04%
14 Pais Vasco 1.126.786,19 88,75% 31/01/2006 31/01/2026 1.000.000,00 0,03%
15 Madrid 1.144.221,87 87,20% 20/10/2003 20/10/2030 997.736,09 0,03%
16 Madrid 1.030.868,00 96,24% 06/05/2004 06/05/2036 992.115,77 0,03%
17 Cataluña 1.020.760,86 96,93% 16/09/2005 16/09/2045 989.400,00 0,03%
18 Pais Vasco 1.089.158,38 88,14% 28/07/2006 28/07/2046 960.000,00 0,03%
19 Andalucia 1.029.496,27 92,12% 16/09/2005 16/09/2025 948.326,37 0,03%
20 Cataluña 1.021.665,91 92,79% 10/02/2005 10/02/2035 947.971,44 0,03%
TOTALES: 23.981.504,55 € 0,81%
