Importe Inicial Operaciones Nº. de Préstamos
(en miles de euros)
Intervalo (Euros) Importes en Porcentaje Nº. de Porcentaje
miles salvo el (%) préstamos (%)
total, en euros
8.000,00 – 149.999,99 859.381,63 28,36 7.956 44,74
150.000,00 – 249.999,99 1.471.531,52 48,56 7.732 43,48
250.000,00 – 349.999,99 446.518,27 14,73 1.570 8,82
350.000,00 – 449.999,99 129.642,71 4,27 334 1,87
450.000,00 – 549.999,99 42.392,45 1,39 88 0,49
550.000,00 – 649.999,99 24.296,02 0,8 41 0,23
650.000,00 – 749.999,99 15.264,65 0,5 22 0,12
750.000,00 – 849.999,99 6.954,62 0,22 9 0,05
850.000,00 – 949.999,99 7.154,51 0,23 8 0,04
950.000,00 – 1.049.999,99 7.929,86 0,26 8 0,04
1.050.000,00 – 1.149.999,99 3.340,00 0,11 3 0,01
1.150.000,00 – 1.249.999,99 4.768,64 0,15 4 0,02
1.250.000,00 – 1.349.999,99 2.596,55 0,08 2 0,01
1.350.000,00 – 1.449.999,99 0,00 0 0 0
1.450.000,00 – 1.950.000,00 8.105,00 0,26 5 0,02
TOTALES 3.029.876.483,41 100,00 17.782 100,00
