Principal pendiente Préstamos
Importes en Porcentaje Nº. de Porcentaje
Intervalo
miles salvo el (%) préstamos (%)
total, en euros
4-9-1993 – 31-12-1998 16.879,43 0,57 199 1,11
1-1-1999- 3-06-1999 9.503,00 0,32 113 0,63
1-7-1999 – 31-12-1999 15.106,08 0,51 175 0,98
1-1-2000 – 30-06-2000 24.348,75 0,82 265 1,49
1-7-2000 – 31-12-2000 12.495,99 0,42 115 0,64
1-1-2001 – 30-6-2001 20.073,15 0,67 174 0,97
1-7-2001 – 31-12-2001 24.436,44 0,82 219 1,23
1-1-2002 - 30-6-2002 39.104,77 1,32 338 1,90
1-7-2002 - 31-12-2002 45.323,11 1,53 347 1,95
1-1-2003 - 30-6-2003 38.215,47 1,29 276 1,55
1-7-2003 - 31-12-2003 69.248,86 2,34 493 2,77
1-1-2004 - 30-6-2004 110.998,80 3,75 763 4,29
1-7-2004 - 31-12-2004 106.369,22 3,59 717 4,03
1-1-2005 - 30-6-2005 110.618,21 3,74 693 3,89
1-7-2005 - 31-12-2005 547.960,41 18,53 3.037 17,07
1-1-2006 – 30-6-2006 1.167.710,18 39,49 6.560 36,89
1-7-2006 – 20-10-2006 598.003,77 20,22 3.298 18,54
TOTALES 2.956.395.725,76 100,00 17.782 100,00
