Principal pendiente Préstamos
Importes en Porcentaje Nº. de Porcentaje
Intervalo
miles salvo el (%) préstamos (%)
total, en euros
5-7-2007 - 31-12-2007 290,00 0 2 0,01
1-1-2008 - 31-12-2008 230,00 0 2 0,01
1-1-2009 - 31-12-2009 550,00 0,01 1 0
1-1-2010 - 31-12-2010 771,29 0,02 5 0,02
1-1-2011 - 31-12-2011 649,31 0,02 4 0,02
1-1-2012 - 31-12-2012 315,71 0,01 5 0,02
1-1-2013 - 31-12-2013 1.737,41 0,05 17 0,09
1-1-2014 - 31-12-2014 2.033,86 0,06 22 0,12
1-1-2015 - 31-12-2015 1.819,88 0,06 24 0,13
1-1-2016 - 31-12-2016 6.135,39 0,2 51 0,28
1-1-2017 - 31-12-2017 4.420,52 0,14 40 0,22
1-1-2018 - 31-12-2018 8.258,10 0,27 69 0,38
1-1-2019 - 31-12-2019 8.478,60 0,28 81 0,45
1-1-2020 - 31-12-2020 14.400,78 0,48 122 0,68
1-1-2021 - 31-12-2021 20.082,27 0,67 172 0,96
1-1-2022 - 31-12-2022 10.569,89 0,35 105 0,59
1-1-2023 - 31-12-2023 14.041,34 0,47 118 0,66
1-1-2024 – 31-12-2024 21.082,07 0,71 203 1,14
1-1-2025 - 31-12-2025 38.129,33 1,28 317 1,78
1-1-2026 - 31-12-2026 68.171,98 2,3 535 3
1-1-2027 - 31-12-2027 25.672,35 0,86 222 1,24
1-1-2028 - 31-12-2028 30.392,06 1,02 245 1,37
1-1-2029 - 31-12-2029 46.739,16 1,58 393 2,21
1-1-2030 - 31-12-2030 70.546,24 2,38 539 3,03
1-1-2031 - 31-12-2031 117.943,87 3,98 808 4,54
1-1-2032 - 31-12-2032 54.091,44 1,82 368 2,06
1-1-2033 - 31-12-2033 72.647,27 2,45 472 2,65
1-1-2034 - 31-12-2034 166.471,31 5,63 1.022 5,74
1-1-2035 - 31-12-2035 213.458,35 7,22 1.279 7,19
1-1-2036 - 31-12-2036 498.720,10 16,86 2.887 16,23
1-1-2037 - 31-12-2037 5.545,91 0,18 27 0,15
1-1-2038 - 31-12-2038 13.268,11 0,44 69 0,38
1-1-2039 - 31-12-2039 12.163,54 0,41 63 0,35
1-1-2040 - 31-12-2040 48.256,39 1,63 269 1,51
1-1-2041 - 31-12-2041 99.292,32 3,35 575 3,23
1-1-2042 - 31-12-2042 13.731,33 0,46 74 0,41
1-1-2043 - 31-12-2043 23.208,94 0,78 120 0,67
1-1-2044 - 31-12-2044 26.855,77 0,9 134 0,75
1-1-2045 - 31-12-2045 320.494,56 10,84 1.702 9,57
1-1-2046 – 9-11-2046 874.728,79 29,58 4.619 25,97
TOTALES 2.956.395.725,76 100,00 17.782 100,00
