LOAN MATURITY DATES
Interval (dd/mm/yyyy) Outstanding Balances Loans
(thousands of EUR) % No. %
5/06/2006 - 30/06/2006 12.06 0.00 1 0.01
1/07/2006 - 31/12/2006 9.89 0.00 3 0.03
1/01/2007 - 30/06/2007 66.02 0.00 12 0.13
1/07/2007 - 31/12/2007 48.01 0.00 8 0.08
1/01/2008 - 30/06/2008 22.63 0.00 3 0.03
1/07/2008 - 31/12/2008 73.46 0.00 7 0.07
1/01/2009 - 30/06/2009 181.37 0.01 12 0.13
1/07/2009 - 31/12/2009 129.10 0.01 10 0.11
1/01/2010 - 30/06/2010 66.46 0.00 4 0.04
1/07/2010 - 31/12/2010 148.50 0.01 9 0.09
1/01/2011 - 30/06/2011 324.87 0.03 17 0.18
1/07/2011 - 31/12/2011 841.06 0.08 22 0.24
1/01/2012 - 30/06/2012 700.89 0.06 20 0.22
1/07/2012 - 31/12/2012 720.68 0.06 23 0.25
1/01/2013 - 30/06/2013 788.77 0.07 23 0.25
1/07/2013 - 31/12/2013 633.34 0.06 25 0.27
1/01/2014 - 30/06/2014 2.146.39 0.20 35 0.38
1/07/2014 - 31/12/2014 4.519.25 0.43 69 0.76
1/01/2015 - 30/06/2015 318.92 0.03 16 0.17
1/07/2015 - 31/12/2015 528.64 0.05 16 0.17
1/01/2016 - 30/06/2016 1.467.52 0.13 25 0.27
1/07/2016 - 31/12/2016 1.672.97 0.15 31 0.34
1/01/2017 - 30/06/2017 1.259.70 0.12 30 0.33
1/07/2017 - 31/12/2017 1.337.44 0.12 29 0.32
1/01/2018 - 30/06/2018 1.786.26 0.17 40 0.44
1/07/2018 - 31/12/2018 2.253.55 0.21 46 0.50
1/01/2019 - 30/06/2019 6.064.48 0.57 98 1.08
1/07/2019 - 31/12/2019 13.138.45 1.25 148 1.63
1/01/2020 - 30/06/2020 818.52 0.07 13 0.14
1/07/2020 - 31/12/2020 826.53 0.07 16 0.17
1/01/2021 - 30/06/2021 654.72 0.06 9 0.09
1/07/2021 - 31/12/2021 1.806.83 0.17 26 0.28
1/01/2022 - 30/06/2022 1.566.83 0.14 25 0.27
1/07/2022 - 31/12/2022 2.475.99 0.23 36 0.39
1/01/2023 - 30/06/2023 1.779.76 0.16 29 0.32
1/07/2023 - 31/12/2023 4.394.33 0.41 51 0.56
1/01/2024 - 30/06/2024 18.062.03 1.72 188 2.07
1/07/2024 - 31/12/2024 36.970.97 3.52 322 3.56
1/01/2025 - 30/06/2025 514.47 0.04 8 0.08
1/07/2025 - 31/12/2025 1.765.02 0.16 20 0.22
1/01/2026 - 30/06/2026 920.95 0.08 14 0.15
1/07/2026 - 31/12/2026 2.552.32 0.24 26 0.28
1/01/2027 - 30/06/2027 2.483.57 0.23 30 0.33
1/07/2027 - 31/12/2027 3.191.92 0.30 36 0.39
1/01/2028 - 30/06/2028 2.573.01 0.24 25 0.27
1/07/2028 - 31/12/2028 5.301.33 0.50 54 0.59
1/01/2029 - 30/06/2029 31.118.72 2.96 286 3.16
1/07/2029 - 31/12/2029 47.576.19 4.53 401 4.43
1/01/2030 - 30/06/2030 1.703.24 0.16 31 0.34
1/07/2030 - 31/12/2030 2.363.36 0.22 31 0.34
1/01/2031 - 30/06/2031 3.351.89 0.31 48 0.53
1/07/2031 - 31/12/2031 5.288.66 0.50 74 0.81
1/01/2032 - 30/06/2032 4.011.48 0.38 52 0.57
1/07/2032 - 31/12/2032 5.697.80 0.54 63 0.69
1/01/2033 - 30/06/2033 11.679.07 1.11 120 1.32
1/07/2033 - 31/12/2033 40.040.77 3.81 364 4.02
1/01/2034 - 30/06/2034 182.295.13 17.37 1,482 16.38
1/07/2034 - 31/12/2034 328.154.21 31.28 2,427 26.83
1/01/2035 - 30/06/2035 2.051.41 0.19 13 0.14
1/07/2035 - 31/12/2035 2.034.94 0.19 18 0.19
1/01/2036 - 30/06/2036 2.162.72 0.20 18 0.19
1/07/2036 - 31/12/2036 4.207.28 0.40 35 0.38
1/01/2037 - 30/06/2037 2.521.72 0.24 23 0.25
1/07/2037 - 31/12/2037 5.466.07 0.52 44 0.48
1/01/2038 - 30/06/2038 2.457.64 0.23 20 0.22
1/07/2038 - 31/12/2038 6.334.02 0.60 53 0.58
1/01/2039 - 30/06/2039 68.561.75 6.53 528 5.83
1/07/2039 - 5/12/2039 160.014.53 15.25 1,203 13.30
Totals: 1,049,012,750.75 100.00 9,044 100.00
