FECHA DE FORMALIZACION DE LOS PRESTAMOS HIPOTECARIOS,,,,
INTERVALO,IMPORTE
(MILES),% SALDOS
OPERACION,Nº DE
PRESTAMOS,% Nº
PRESTAMOS
19/01/1999 - 30/04/2000 124,70 0 5 0,03
1/05/2000 - 30/06/2000 16,10 0 1 0
1/07/2000 - 31/08/2000 43,74 0 1 0
1/09/2000 - 31/10/2000 90,44 0 1 0
1/01/2001 - 28/02/2001 18,35 0 1 0
1/03/2001 - 30/04/2001 39,78 0 1 0
1/05/2001 - 30/06/2001 109,42 0 2 0,01
1/07/2001 - 31/08/2001 79,18 0 2 0,01
1/09/2001 - 31/10/2001 281,30 0,01 3 0,02
1/11/2001 - 31/12/2001 301,31 0,01 3 0,02
1/03/2002 - 30/04/2002 425,66 0,02 5 0,03
1/05/2002 - 30/06/2002 70,88 0 1 0
1/07/2002 - 31/08/2002 403,60 0,02 5 0,03
1/09/2002 - 31/10/2002 528,73 0,02 5 0,03
1/11/2002 - 31/12/2002 351,72 0,01 4 0,03
1/01/2003 - 28/02/2003 480,08 0,02 7 0,05
1/03/2003 - 30/04/2003 596,81 0,03 4 0,03
1/05/2003 - 30/06/2003 907,70 0,05 8 0,06
1/07/2003 - 31/08/2003 509,29 0,02 7 0,05
1/09/2003 - 31/10/2003 679,37 0,03 9 0,07
1/11/2003 - 31/12/2003 416,71 0,02 5 0,03
1/01/2004 - 29/02/2004 1.026,83 0,05 8 0,06
1/03/2004 - 30/04/2004 4.460,82 0,24 32 0,25
1/05/2004 - 30/06/2004 3.892,99 0,21 32 0,25
1/07/2004 - 31/08/2004 5.284,48 0,29 39 0,3
1/09/2004 - 31/10/2004 3.774,38 0,21 30 0,23
1/11/2004 - 31/12/2004 6.580,52 0,36 58 0,45
1/01/2005 - 28/02/2005 5.226,72 0,29 49 0,38
1/03/2005 - 30/04/2005 13.122,47 0,73 98 0,77
1/05/2005 - 30/06/2005 22.205,22 1,23 168 1,33
1/07/2005 - 31/08/2005 46.219,68 2,57 408 3,23
1/09/2005 - 31/10/2005 164.976,17 9,2 1.321 10,46
1/11/2005 - 31/12/2005 335.326,11 18,7 2.446 19,38
1/01/2006 - 28/02/2006 418.562,12 23,34 2.988 23,68
1/03/2006 - 30/04/2006 433.426,42 24,17 2.891 22,91
1/05/2006 - 23/06/2006 322.554,46 17,98 1.970 15,61,,,,
TOTALES 1.793.114.435,93 € 100 12.618 100,,,,
