FECHA DE FORMALIZACION DE LOS PRESTAMOS
ASOCIADOS CON RANGO DE SEGUNDA HIPOTECA,,,
INTERVALO IMPORTES(MILES),% Saldo Vivo,Nº préstamos,% Nº
préstamos
28/09/2004 - 31/10/2004 36,09 0,11 1 0,14
1/11/2004 - 31/12/2004 126,67 0,4 3 0,44
1/01/2005 - 28/02/2005 158,57 0,5 5 0,74
1/03/2005 - 30/04/2005 170,82 0,54 6 0,89
1/05/2005 - 30/06/2005 260,37 0,83 7 1,04
1/09/2005 - 31/10/2005 2.435,14 7,79 56 8,35
1/11/2005 - 31/12/2005 6.189,15 19,81 131 19,55
1/01/2006 - 28/02/2006 6.946,32 22,24 143 21,34
1/03/2006 - 30/04/2006 9.413,09 30,13 199 29,7
1/05/2006 - 23/06/2006 5.495,78 17,59 119 17,76,,,
TOTALES 31.232.044,28 € 100,00 670 100,00,,,
