FECHAS DE VENCIMIENTO DE LOS PRESTAMOS
ASOCIADOS NO HIPOTECARIOS,,,,
INTERVALO,SALDOS VIVOS
(MILES),% SALDOS VIVOS,NUMERO DE
PRESTAMOS,% NUMERO
PRESTAMOS
5/01/2013 - 30/06/2013 0,4 0 1 0,02
1/07/2016 - 31/12/2016 7,49 0 1 0,02
1/01/2020 - 30/06/2020 11,92 0,01 1 0,02
1/07/2020 - 31/12/2020 8,21 0 1 0,02
1/01/2021 - 30/06/2021 90,96 0,1 5 0,12
1/01/2022 - 30/06/2022 2,93 0 1 0,02
1/01/2024 - 30/06/2024 23,39 0,02 2 0,04
1/01/2025 - 30/06/2025 44,6 0,05 2 0,04
1/07/2025 - 31/12/2025 118,56 0,13 8 0,19
1/01/2026 - 30/06/2026 256,04 0,29 15 0,37
1/07/2026 - 31/12/2026 29,23 0,03 2 0,04
1/01/2027 - 30/06/2027 20,91 0,02 3 0,07
1/07/2027 - 31/12/2027 84,36 0,09 3 0,07
1/01/2028 - 30/06/2028 10,17 0,01 1 0,02
1/07/2028 - 31/12/2028 85,26 0,09 4 0,09
1/01/2029 - 30/06/2029 61,67 0,07 5 0,12
1/07/2029 - 31/12/2029 52,48 0,06 3 0,07,,,,
