RELACION ENTRE SALDO PENDIENTE Y VALOR DE TASACION MERCADO
DE LOS PRESTAMOS HIPOTECARIOS,,,,
INTERVALO,SALDOS VIVOS
(MILES),% SALDOS VIVOS,NUMERO DE
PRESTAMOS,% NO. DE
PRESTAMOS
0,64 19,99 9.109,20 0,5 215 1,7
20 24,99 11.717,17 0,65 172 1,36
25 29,99 20.457,24 1,14 257 2,03
30 34,99 27.328,17 1,52 294 2,33
35 39,99 51.778,94 2,88 531 4,2
40 44,99 59.994,53 3,34 485 3,84
45 49,99 80.644,03 4,49 537 4,25
50 54,99 97.485,75 5,43 621 4,92
55 59,99 115.177,13 6,42 656 5,19
60 64,99 120.802,75 6,73 669 5,3
65 69,99 154.264,63 8,6 805 6,37
70 74,99 160.055,47 8,92 882 6,99
75 79,99 780.488,36 43,52 5.807 46,02
80 84,99 91.072,81 5,07 612 4,85
85 89,99 6.348,03 0,35 34 0,26
90 100 6.390,15 0,35 41 0,32,,,,
1.793.114.435,93 € 100 12.618 100,,,,
