FONDOS DE TITULIZACION HIPOTECARIA,,,,,,,
FONDOS,SERIES,SALDO VIVO,,TIPO POR SE-
RIES,AGENCIA DE CALIFICA-
CION,FECHA CON-
STITUCION,SALDO INICIAL
ACTIVOS
FTH HIPOTEBANSA VI Serie A Libor 3M + 0.12% S&P España / Moody´s 27/10/1997 262.942.795,67 €
34.144.301,64 € España
Serie B Libor 3M + 0.50%
3.414.430,05 €
Total 37.558.731,69 €
FTH HIPOTEBANSA VII Serie A Libor 3M + 0.15% S&P España / Moody´s 05/05/1998 317.334.391,12 €
57.978.269,85 € España
Serie B Libor 3M + 0.525%
5.797.826,82 €
Total 63.776.096,67 €
FTH UCI 4 Serie A Libor 3M + 0.16% S&P España 25/06/1998 180.303.631,32 €
27.331.248,30 €
Serie B Libor 3M + 0.575%
2.733.125,36 €
Total 30.064.373,66 €
FTH HIPOTEBANSA VIII Serie A Libor 3M + 0.27% Fitch IBCA / Moody´s 17/12/1998 328.302.862,02 €
68.001.045,44 € España
Serie B Libor 3M + 0.800%
6.800.105,18 €
Total 74.801.150,62 €
FTH UCI 5 Serie A Euribor 3M + Moody´s España 03/06/1999 265.000.000,00 €
54.699.713,20 € 0.23%
Serie B Euribor 3M +
4.375.976,40 € 0.625%
Total 59.075.689,60 €
FTH BANESTO 1 Serie A Euribor 3M + Moody´s España 29/07/1999 759.000.000,00 €
135.610.451,60 € 0.23%
Serie B Euribor 3M +
10.848.836,60 € 0.625%
Total 146.459.288,20 €
FTH HIPOTEBANSA IX Serie A Euribor 3M + Fitch IBCA / Moody´s 10/11/1999 519.200.000,00 €
142.525.306,32 € 0.27% España
Serie B Euribor 3M +
14.000.000,00 € 0.75%
Total 156.525.306,32 €
FTH BANESTO 2 Serie A Euribor 3M + Moody´s España 08/05/2000 715.000.000,00 €
193.588.884,00 € 0.27%,,,,,,,
