,TACP 20%,,,,,
,SERIE A1,SERIE A2,SERIE B,SERIE C,SERIE D,SERIE E
FECHA DE
PAGO,PRINCIPAL INTERESES TOTAL,PRINCIPAL INTERESES TOTAL
0,00 1.469,42 1.469,42
0,00 877,83 877,83
0,00 877,83 877,83
108,93 868,29 977,22
6.486,09 867,35 7.353,43
6.049,00 819,94 6.868,94
5.700,81 766,84 6.467,65
5.372,40 709,01 6.081,41
5.062,67 655,08 5.717,74
4.770,55 625,19 5.395,74
4.444,30 583,32 5.027,62,PRINCIPAL INTERESES TOTAL,PRINCIPAL INTERESES TOTAL,PRINCIPAL INTERESES TOTAL,PRINCIPAL INTERESES TOTAL
16/03/2007
16/06/2007
16/09/2007
16/12/2007
16/03/2008
16/06/2008
16/09/2008
16/12/2008
16/03/2009
16/06/2009
16/09/2009,38.879,24 1.435,19 40.314,43
21.556,68 524,04 22.080,72
20.320,16 339,22 20.659,38
19.243,92 163,20 19.407,12,,0,00 1.529,31 1.529,31
0,00 913,61 913,61
0,00 913,61 913,61
0,00 903,68 903,68
0,00 903,68 903,68
0,00 913,61 913,61
0,00 913,61 913,61
0,00 903,68 903,68
0,00 893,75 893,75
0,00 913,61 913,61
517,28 913,61 1.430,89,0,00 1.623,42 1.623,42
0,00 969,83 969,83
0,00 969,83 969,83
0,00 959,29 959,29
0,00 959,29 959,29
0,00 969,83 969,83
0,00 969,83 969,83
0,00 959,29 959,29
0,00 948,75 948,75
0,00 969,83 969,83
517,28 969,83 1.487,12,0,00 2.273,64 2.273,64
0,00 1.358,28 1.358,28
0,00 1.358,28 1.358,28
0,00 1.343,51 1.343,51
0,00 1.343,51 1.343,51
0,00 1.358,28 1.358,28
0,00 1.358,28 1.358,28
0,00 1.343,51 1.343,51
0,00 1.328,75 1.328,75
0,00 1.358,28 1.358,28
517,28 1.358,28 1.875,56,0,00 2.701,42 2.701,42
0,00 1.613,83 1.613,83
0,00 1.613,83 1.613,83
0,00 1.596,29 1.596,29
0,00 1.596,29 1.596,29
0,00 1.613,83 1.613,83
0,00 1.613,83 1.613,83
0,00 1.596,29 1.596,29
0,00 1.578,75 1.578,75
0,00 1.613,83 1.613,83
517,28 1.613,83 2.131,12
