SALDOS VIVOS DE LOS PRÉSTAMOS HIPOTECARIOS DESGLOSADOS
POR PROVINCIAS
Provincia Saldos vivos Préstamos
(miles de euros) % nº %
01 ALAVA 802,28 0,09 7 0,08
02 ALBACETE 4.670,36 0,56 56 0,66
03 ALICANTE 21.741,16 2,60 271 3,20
04 ALMERIA 12.087,91 1,45 128 1,51
05 AVILA 1.081,58 0,12 15 0,17
06 BADAJOZ 7.172,30 0,86 98 1,15
07 BALEARES 39.134,10 4,69 327 3,86
08 BARCELONA 110.640,82 13,28 917 10,84
09 BURGOS 1.556,65 0,18 18 0,21
10 CACERES 2.335,23 0,28 38 0,44
11 CADIZ 34.049,83 4,08 458 5,41
12 CASTELLON 13.938,24 1,67 156 1,84
13 CIUDAD REAL 4.350,55 0,52 57 0,67
14 CORDOBA 11.133,34 1,33 144 1,70
15 LA CORUÑA 16.797,43 2,01 192 2,27
16 CUENCA 398,08 0,04 6 0,07
17 GERONA 18.399,14 2,20 186 2,19
18 GRANADA 8.564,21 1,02 111 1,31
19 GUADALAJARA 8.044,81 0,96 59 0,69
20 GUIPUZCOA 2.174,54 0,26 19 0,22
21 HUELVA 11.676,06 1,40 154 1,82
22 HUESCA 744,37 0,08 6 0,07
23 JAEN 3.816,23 0,45 64 0,75
24 LEON 3.160,83 0,37 37 0,43
25 LERIDA 4.399,36 0,52 56 0,66
26 LA RIOJA 3.203,47 0,38 33 0,39
27 LUGO 1.509,03 0,18 23 0,27
28 MADRID 143.957,26 17,28 1.142 13,50
29 MALAGA 80.250,75 9,63 750 8,87
30 MURCIA 5.582,94 0,67 67 0,79
31 NAVARRA 5.403,63 0,64 40 0,47
32 ORENSE 1.719,74 0,20 21 0,24
33 ASTURIAS 24.648,76 2,95 293 3,46
34 PALENCIA 709,61 0,08 9 0,10
35 LAS PALMAS 48.771,10 5,85 538 6,36
36 PONTEVEDRA 15.998,16 1,92 158 1,86
37 SALAMANCA 811,05 0,09 10 0,11
38 TENERIFE 28.655,32 3,43 307 3,63
39 CANTABRIA 5.938,08 0,71 63 0,74
40 SEGOVIA 1.878,56 0,22 18 0,21
41 SEVILLA 39.695,83 4,76 491 5,80
43 TARRAGONA 13.011,79 1,56 129 1,52
44 TERUEL 40,35 0,00 1 0,01
45 TOLEDO 18.402,99 2,20 186 2,19
46 VALENCIA 24.314,06 2,91 322 3,80
47 VALLADOLID 7.151,39 0,85 93 1,09
48 VIZCAYA 10.436,04 1,25 95 1,12
49 ZAMORA 654,27 0,07 8 0,09
50 ZARAGOZA 7.406,35 0,88 78 0,92
Totales: 833.020.160,14 100,00 8.455 100,00
