MATURITY DATE OF THE MORTGAGE LOANS
Range Amount Loans
(thousands of euro) % nº %
5/10/2005 - 31/12/2005 11.31 0.00 1 0.01
1/01/2006 - 30/06/2006 29.68 0.00 5 0.05
1/07/2006 - 31/12/2006 262.62 0.03 36 0.42
1/01/2007 - 30/06/2007 143.11 0.01 14 0.16
1/07/2007 - 31/12/2007 91.18 0.01 6 0.07
1/01/2008 - 30/06/2008 107.06 0.01 7 0.08
1/07/2008 - 31/12/2008 118.61 0.01 4 0.04
1/01/2009 - 30/06/2009 184.90 0.02 9 0.10
1/07/2009 - 31/12/2009 191.23 0.02 9 0.10
1/01/2010 - 30/06/2010 86.44 0.01 5 0.05
1/07/2010 - 31/12/2010 423.59 0.05 9 0.10
1/01/2011 - 30/06/2011 268.86 0.03 11 0.13
1/07/2011 - 31/12/2011 622.72 0.07 25 0.29
1/01/2012 - 30/06/2012 659.66 0.07 24 0.28
1/07/2012 - 31/12/2012 483.87 0.05 9 0.10
1/01/2013 - 30/06/2013 691.94 0.08 14 0.16
1/07/2013 - 31/12/2013 1,151.18 0.13 24 0.28
1/01/2014 - 30/06/2014 1,500.76 0.18 26 0.30
1/07/2014 - 31/12/2014 244.47 0.02 6 0.07
1/01/2015 - 30/06/2015 821.28 0.09 13 0.15
1/07/2015 - 31/12/2015 1,000.97 0.12 18 0.21
1/01/2016 - 30/06/2016 729.67 0.08 18 0.21
1/07/2016 - 31/12/2016 1,244.14 0.14 31 0.36
1/01/2017 - 30/06/2017 1,163.95 0.13 26 0.30
1/07/2017 - 31/12/2017 978.12 0.11 12 0.14
1/01/2018 - 30/06/2018 2,612.59 0.31 32 0.37
1/07/2018 - 31/12/2018 6,273.96 0.75 91 1.07
1/01/2019 - 30/06/2019 4,496.71 0.53 50 0.59
1/07/2019 - 31/12/2019 259.09 0.03 4 0.04
1/01/2020 - 30/06/2020 548.02 0.06 9 0.10
1/07/2020 - 31/12/2020 441.09 0.05 8 0.09
1/01/2021 - 30/06/2021 1,404.24 0.16 18 0.21
1/07/2021 - 31/12/2021 2,863.53 0.34 37 0.43
1/01/2022 - 30/06/2022 2,441.29 0.29 31 0.36
1/07/2022 - 31/12/2022 3,248.06 0.38 33 0.39
1/01/2023 - 30/06/2023 6,174.53 0.74 71 0.83
1/07/2023 - 31/12/2023 24,000.35 2.88 246 2.90
1/01/2024 - 30/06/2024 12,367.94 1.48 117 1.38
1/07/2024 - 31/12/2024 295.20 0.03 4 0.04
1/01/2025 - 30/06/2025 331.86 0.03 6 0.07
1/07/2025 - 31/12/2025 1,455.05 0.17 14 0.16
1/01/2026 - 30/06/2026 1,362.54 0.16 17 0.20
1/07/2026 - 31/12/2026 2,657.49 0.31 24 0.28
1/01/2027 - 30/06/2027 1,937.88 0.23 23 0.27
1/07/2027 - 31/12/2027 3,773.04 0.45 40 0.47
1/01/2028 - 30/06/2028 9,645.12 1.15 109 1.28
1/07/2028 - 31/12/2028 30,285.53 3.63 283 3.34
1/01/2029 - 30/06/2029 14,228.75 1.70 136 1.60
1/07/2029 - 31/12/2029 1,047.78 0.12 13 0.15
1/01/2030 - 30/06/2030 1,825.97 0.21 23 0.27
1/07/2030 - 31/12/2030 1,319.03 0.15 16 0.18
1/01/2031 - 30/06/2031 2,639.54 0.31 36 0.42
1/07/2031 - 31/12/2031 5,623.28 0.67 66 0.78
1/01/2032 - 30/06/2032 5,552.17 0.66 56 0.66
1/07/2032 - 31/12/2032 27,693.60 3.32 311 3.67
1/01/2033 - 30/06/2033 164,913.34 19.79 1,827 21.60
1/07/2033 - 31/12/2033 324,821.41 38.99 3,001 35.49
1/01/2034 - 30/06/2034 141,856.14 17.02 1,259 14.89
1/07/2034 - 31/12/2034 0.00 0.00 0 0.00
1/01/2035 - 5/03/2039 9,412.42 1.12 82 0.96
Totals: 833,020,160.14 100.00 8,455 100.00
