CURRENT INTEREST RATES OF THE MORTGAGE LOANS
Range Amount Loans
(thousand of
(%) euro) % nº %
2.41 - 3.99 318,342.27 38.21 3,257 38.52
4.00 - 4.49 218,264.63 26.20 2,171 25.67
4.50 - 4.99 234,059.82 28.09 2,369 28.01
5.00 - 5.49 40,257.85 4.83 435 5.14
5.50 - 5.99 20,700.16 2.48 208 2.46
6.00 - 6.49 1,196.13 0.14 10 0.11
6.50 - 6.99 114.77 0.01 2 0.02
7.00 - 7.49 25.65 0.00 1 0.01
7.50 - 7.99 0.00 0.00 0 0.00
8.00 - 8.49 0.00 0.00 0 0.00
8.50 - 8.99 0.00 0.00 0 0.00
9.00 - 9.25 58.84 0.00 2 0.02
Totals: 833,020,160.14 100.00 8,455 100.00
