INITIAL PRINCIPAL BALANCE / APPRAISAL VALUE RATIO
Range Amounts Loans
(%) (thousands of euro) % Nr. %
7.03 - 9.99 91.11 0.00 5 0.05
10.00 - 19.99 1,899.95 0.20 45 0.53
20.00 - 29.99 6,696.62 0.71 102 1.20
30.00 - 39.99 21,461.78 2.29 245 2.89
40.00 - 49.99 55,094.42 5.89 501 5.92
50.00 - 59.99 104,359.68 11.16 791 9.35
60.00 - 69.99 140,662.63 15.05 993 11.74
70.00 - 79.99 390,566.22 41.78 3,544 41.91
80.00 - 89.99 177,496.70 18.99 1,890 22.35
90.00 - 99.99 31,431.50 3.36 282 3.33
100.00 - 155.35 4,870.46 0.52 57 0.67
Totals: 934,631,120.64 100.00 8,455 100.00
