MATURITY DATE OF THE PERSONAL LOANS
Range Amount Loans
(thousands of euro) % nº %
5/02/2008 - 30/06/2008 1.62 0.00 1 0.03
1/07/2008 - 31/12/2008 0.00 0.00 0 0.00
1/01/2009 - 30/06/2009 0.00 0.00 0 0.00
1/07/2009 - 31/12/2009 14.68 0.03 1 0.03
1/01/2010 - 30/06/2010 0.00 0.00 0 0.00
1/07/2010 - 31/12/2010 6.84 0.01 1 0.03
1/01/2011 - 30/06/2011 0.00 0.00 0 0.00
1/07/2011 - 31/12/2011 1.18 0.00 1 0.03
1/01/2012 - 30/06/2012 0.00 0.00 0 0.00
1/07/2012 - 31/12/2012 10.23 0.02 1 0.03
1/01/2013 - 30/06/2013 10.75 0.02 1 0.03
1/07/2013 - 31/12/2013 24.79 0.05 3 0.09
1/01/2014 - 30/06/2014 0.00 0.00 0 0.00
1/07/2014 - 31/12/2014 0.00 0.00 0 0.00
1/01/2015 - 30/06/2015 1.66 0.00 1 0.03
1/07/2015 - 31/12/2015 15.97 0.03 1 0.03
1/01/2016 - 30/06/2016 0.00 0.00 0 0.00
1/07/2016 - 31/12/2016 0.00 0.00 0 0.00
1/01/2017 - 30/06/2017 27.96 0.05 2 0.06
1/07/2017 - 31/12/2017 8.97 0.01 1 0.03
1/01/2018 - 30/06/2018 80.35 0.17 10 0.30
1/07/2018 - 31/12/2018 88.18 0.18 9 0.27
1/01/2019 - 30/06/2019 51.44 0.11 4 0.12
1/07/2019 - 31/12/2019 10.22 0.02 1 0.03
1/01/2020 - 30/06/2020 16.01 0.03 1 0.03
1/07/2020 - 31/12/2020 0.00 0.00 0 0.00
1/01/2021 - 30/06/2021 0.00 0.00 0 0.00
1/07/2021 - 31/12/2021 0.00 0.00 0 0.00
1/01/2022 - 30/06/2022 31.82 0.06 3 0.09
1/07/2022 - 31/12/2022 23.47 0.05 3 0.09
1/01/2023 - 30/06/2023 381.98 0.81 31 0.94
1/07/2023 - 31/12/2023 371.99 0.79 33 1.01
1/01/2024 - 30/06/2024 82.55 0.17 7 0.21
1/07/2024 - 31/12/2024 0.00 0.00 0 0.00
1/01/2025 - 30/06/2025 0.00 0.00 0 0.00
1/07/2025 - 31/12/2025 64.25 0.13 3 0.09
1/01/2026 - 30/06/2026 0.00 0.00 0 0.00
1/07/2026 - 31/12/2026 0.00 0.00 0 0.00
1/01/2027 - 30/06/2027 23.22 0.04 1 0.03
1/07/2027 - 31/12/2027 69.45 0.14 6 0.18
1/01/2028 - 30/06/2028 708.39 1.51 60 1.83
1/07/2028 - 31/12/2028 718.85 1.53 54 1.65
1/01/2029 - 30/06/2029 131.87 0.28 12 0.36
1/07/2029 - 31/12/2029 68.04 0.14 4 0.12
1/01/2030 - 30/06/2030 12.96 0.02 1 0.03
1/07/2030 - 31/12/2030 15.44 0.03 1 0.03
1/01/2031 - 30/06/2031 3.20 0.00 1 0.03
1/07/2031 - 31/12/2031 74.69 0.15 5 0.15
1/01/2032 - 30/06/2032 33.53 0.07 1 0.03
1/07/2032 - 31/12/2032 2,671.41 5.71 169 5.17
1/01/2033 - 30/06/2033 19,269.66 41.25 1,354 41.48
1/07/2033 - 31/12/2033 16,125.51 34.52 1,110 34.00
1/01/2034 - 30/06/2034 4,787.05 10.24 331 10.14
1/07/2034 - 31/12/2034 0.00 0.00 0 0.00
1/01/2035 - 5/03/2039 666.97 1.42 35 1.07
Totals: 46,707,347.75 100.00 3,264 100.00
