% TACP,0,5,10,15,20,25
SERIE A,,,,,,
Vida media estimada,17,48,10,30,6,71,4,81,3,70,2,98
TIR,2,35,2,35,2,35,2,35,2,35,2,35
Duración estimada,13,51,8,50,5,83,4,32,3,38,2,76
Vida Final estimada,29,35,23,60,16,84,12,34,9,59,7,84
Fecha final estimada,20/03/2035,20/06/2029,20/09/2022,20/03/2018,20/06/2015,20/09/2013
SERIE B,,,,,,
Vida media estimada,25,21,16,95,11,30,8,13,6,25,5,03
TIR,2,46,2,46,2,46,2,46,2,46,2,46
Duración estimada,18,61,13,54,9,60,7,17,5,64,4,61
Vida Final estimada,29,35,23,60,16,84,12,34,9,59,7,84
Fecha final estimada,20/03/2035,20/06/2029,20/09/2022,20/03/2018,20/06/2015,20/09/2013
SERIE C,,,,,,
Vida media estimada,25,21,16,95,11,30,8,13,6,25,5,03
TIR,2,82,2,82,2,82,2,82,2,82,2,82
Duración estimada,18,54,13,49,9,57,7,15,5,62,4,59
Vida Final estimada,29,35,23,60,16,84,12,34,9,59,7,84
Fecha final estimada,20/03/2035,20/06/2029,20/09/2022,20/03/2018,20/06/2015,20/09/2013
