TIPO DE PRÉSTAMO Y
GARANTÍA ADICIONAL,Nº DE
PRÉSTAMOS,importe global,PORCENTAJE
(EN IMPORTE),LTV MEDIO
Préstamos
Hipotecarios sin
Préstamo No
Hipotecario asociado
SIN Seguro de Crédito
Hipotecario,6.298,786.144.824,97,52,5%,61,6%
Préstamos
Hipotecarios sin
Préstamo No
Hipotecario asociado
CON Seguro de
Crédito Hipotecario
(1),102,12.983.283,66,0,9%,77,8%
Préstamos
Hipotecarios (PH)con
Préstamo No
Hipotecario (PNH)
asociado SIN Seguro
de Crédito
Hipotecario,PH: 487
PNH: 487
Total: 974,PH: 71.239.088,11
PNH: 10.423.881,55
Total: 81.662.969,66,4,8%
0,70%
Total: 5,5%,76,45%
15,84%
Total: 92,24%
