RELACIÓN ENTRE PRINCIPAL PENDIENTE Y VALOR DE TASACIÓN
Préstamos
Intervalo Principal pendiente
Hipotecarios
(miles de euros
salvo el total en
(%) euros) % nº %
0,02 - 39,99 90.797,43 6,52 1.323 11,14
40,00 - 44,99 43.776,49 3,14 377 3,17
45,00 - 49,99 56.376,73 4,05 437 3,67
50,00 - 54,99 67.621,94 4,86 472 3,97
55,00 - 59,99 81.815,84 5,88 541 4,55
60,00 - 64,99 82.386,22 5,92 536 4,51
65,00 - 69,99 96.500,20 6,93 618 5,20
70,00 - 74,99 94.492,25 6,79 641 5,39
75,00 - 79,99 699.531,77 50,28 6.291 52,97
80,00 - 99,75 77.871,19 5,59 640 5,38
Totales: 1.391.170.121,43 100,00 11.876 100,00
