Gastos de constitución del Fondo y emisión de los Bonos,Euros
Registro del Folleto Informativo de admisión en la CNMV,39.033,29 euros
Supervisión del proceso de admisión a cotización por la CNMV,27.135,00 euros
Tarifa de admisión a cotización en AIAF Mercado de Renta Fija,52.200,00 euros
Inclusión de la emisión en el registro de anotaciones en cuenta de
IBERCLEAR,2.900,00 euros
Subtotal (gastos de admisión a cotización),121.268,29 euros
Aranceles notariales, honorarios de auditoría, calificación,
asesoramiento legal, publicidad de la emisión, imprenta y otros.,498.731,71 euros
Comisiones de aseguramiento y colocación de la emisión de Bonos,630.000,00 euros
Total gastos,1.250.000,00 euros
